Cluster ID,confidence_score,year,venue,doi,authors,title,publication_language,abstract
0,0.9976493,2024,Seminars in Vascular Surgery,10.1053/j.semvascsurg.2024.08.004,"Bartos, O.; Trenner, M.",Wearable technology in vascular surgery: Current applications and future perspectives,English,"The COVID-19 pandemic exposed the vulnerabilities of global health care systems, underscoring the need for innovative solutions to meet the demands of an aging population, workforce shortages, and rising physician burnout. In recent years, wearable technology has helped segue various medical specialties into the digital era, yet its adoption in vascular surgery remains limited. This article explores the applications of wearable devices in vascular surgery and explores their potential outlets, such as enhancing primary and secondary prevention, optimizing perioperative care, and supporting surgical training. The integration of artificial intelligence and machine learning with wearable technology further expands its applications, enabling predictive analytics, personalized care, and remote monitoring. Despite the promising prospects, challenges such as regulatory complexities, data security, and interoperability must be addressed. As the digital health movement unfolds, wearable technology could play a pivotal role in reshaping vascular surgery while offering cost-effective, accessible, and patient-centered care."
1,0.999629,2024,Disability and rehabilitation. Assistive technology,10.1080/17483107.2024.2387101,"Fatehi, V.; Salahzadeh, Z.; Mohammadzadeh, Z.",Mapping and analyzing the application of digital health for stroke rehabilitation: scientometric analysis,English,"INTRODUCTION: A modern and accessible healthcare system requires digital innovation and connectivity. The term ""Digital health"" covers vide range technologies, such as mobile health and applications, electronic records, telehealth and telemedicine, wearable devices, robotics, virtual reality and artificial intelligence. METHODS: Scientometrics is the method that we have done in this study by Cite Space and VOSviewer software, and the result of searching the Web of Science database in plain text format to perform analysis and scientometrics and create outputs in the form of graphs and tables in the field of digital health has been used in stroke rehabilitation. RESULT: A total of 2933 documents related to digital health technologies in stroke rehabilitation were identified by searching for the terms ""stroke rehabilitation"" or ""stroke recovery"" in the title and ""digital health"" across all fields. The strongest citations related to cerebrovascular disease spanned from 1994 to 2007, with randomised clinical trials occurring almost simultaneously and ended by 2012. Consequently, stroke rehabilitation by virtual reality technology has obtained the most citations and clinical trials and as an important part of digital health in the future research process. CONCLUSION: This scientometric study offers insights into how digital health technology can assist stroke patients in self-managing their health and well-being, in addition to supporting integrated stroke rehabilitation. The analysis revealed that three themes were present: author contributors and collaboration networks, temporal evolution, the strongest citation explosions for digital health technologies in stroke rehabilitation research, and semantic analysis."
77,1.0,2024,medRxiv,10.1101/2024.07.10.24310229,"Stein, M.; Meisel, A.; Mönch, M.; Narayanaswami, P.; Sun, H.; Herdick, M.; Gerischer, L.; Lehnerer, S.",The telemedical platform MyaLink for remote monitoring in myasthenia gravis: Rationale and protocol for a proof of concept study,English,"Rationale: Myasthenia gravis (MG) is a rare, chronic neurological disorder leading to fluctuating muscle weakness and potentially life-threatening crises. Patients often require life-long specialized treatment, but timely interventions are frequently hindered by the limited availability of specialists. Telemedical solutions at specialized centers enabling patient-physician interaction hold promise in bridging this gap, but are not yet available for MG. We developed 'MyaLink,' a remote monitoring platform tailored for MG, and outline the study design assessing the platform and clinical outcomes regarding telemedical intervention. Additionally, we present study results on care-related aspects in MG prior to telemedical intervention to identify challenges in the current care provision process. Design: The platform comprises a patient app and a physician portal, enabling systematic symptom monitoring using data from patient-reported outcome measures (PROMs), coupled devices and a communication module. The randomized controlled study included 45 study participants (SP) over a 12-weeks period, including a group receiving standard care (15 MG patients) and a group with additional telemedical treatment (30 MG patients) including assessment of PROMs, wearable data collection and telemedical check-ups. Questions regarding care-related aspects were assessed at baseline visit. Results: Many SP (N=33, 73.3%) communicate with the physician managing their MG via email. 73.3% (N=33) of SP identify areas for improvement in their MG care including symptom monitoring (N=23, 69.7%), specialist appointment availability (N=22, 66.7%), medication (N=22, 66.7%) and specialist accessibility (N=20, 60.6%). Additionally, 73.3% (N=33) reported that the effort required to manage their MG was high. Conclusion: Our results emphasize the high demand of affected MG patients for continuous telemedicine services. MyaLink can provide such a service through personalized support based on the exchange of health data. Telemedicine solutions such as MyaLink promise to improve myasthenia care by providing accessible, patient-centred care that enables early detection of worsening symptoms and non-response to treatment."
2,0.99967444,2024,Nanoscale,10.1039/d3nr06137j,"Kammarchedu, V.; Asgharian, H.; Zhou, K.; Soltan Khamsi, P.; Ebrahimi, A.",Recent advances in graphene-based electroanalytical devices for healthcare applications,English,"Graphene, with its outstanding mechanical, electrical, and biocompatible properties, stands out as an emerging nanomaterial for healthcare applications, especially in building electroanalytical biodevices. With the rising prevalence of chronic diseases and infectious diseases, such as the COVID-19 pandemic, the demand for point-of-care testing and remote patient monitoring has never been greater. Owing to their portability, ease of manufacturing, scalability, and rapid and sensitive response, electroanalytical devices excel in these settings for improved healthcare accessibility, especially in resource-limited settings. The development of different synthesis methods yielding large-scale graphene and its derivatives with controllable properties, compatible with device manufacturing - from lithography to various printing methods - and tunable electrical, chemical, and electrochemical properties make it an attractive candidate for electroanalytical devices. This review article sheds light on how graphene-based devices can be transformative in addressing pressing healthcare needs, ranging from the fundamental understanding of biology in in vivo and ex vivo studies to early disease detection and management using in vitro assays and wearable devices. In particular, the article provides a special focus on (i) synthesis and functionalization techniques, emphasizing their suitability for scalable integration into devices, (ii) various transduction methods to design diverse electroanalytical device architectures, (iii) a myriad of applications using devices based on graphene, its derivatives, and hybrids with other nanomaterials, and (iv) emerging technologies at the intersection of device engineering and advanced data analytics. Finally, some of the major hurdles that graphene biodevices face for translation into clinical applications are discussed."
3,0.9997886,2024,Nature Medicine,10.1038/s41591-024-03082-8,"Nally, L.M.; Sherr, J.L.",Making diabetes technology accessible to all,English,"As diabetes technology evolves, implementation of equitable, sustainable, remote patient monitoring will ensure that this technology is accessible to everyone with type 1 diabetes — but strategies to address the burden of data collection and review are crucial."
4,0.9995582,2024,"Sensors (Basel, Switzerland)",10.3390/s24092936,"Sassi, M.; Villa Corta, M.; Pisani, M.G.; Nicodemi, G.; Schena, E.; Pecchia, L.; Longo, U.G.",Advanced Home-Based Shoulder Rehabilitation: A Systematic Review of Remote Monitoring Devices and Their Therapeutic Efficacy,English,"Shoulder pain represents the most frequently reported musculoskeletal disorder, often leading to significant functional impairment and pain, impacting quality of life. Home-based rehabilitation programs offer a more accessible and convenient solution for an effective shoulder disorder treatment, addressing logistical and financial constraints associated with traditional physiotherapy. The aim of this systematic review is to report the monitoring devices currently proposed and tested for shoulder rehabilitation in home settings. The research question was formulated using the PICO approach, and the PRISMA guidelines were applied to ensure a transparent methodology for the systematic review process. A comprehensive search of PubMed and Scopus was conducted, and the results were included from 2014 up to 2023. Three different tools (i.e., the Rob 2 version of the Cochrane risk-of-bias tool, the Joanna Briggs Institute (JBI) Critical Appraisal tool, and the ROBINS-I tool) were used to assess the risk of bias. Fifteen studies were included as they fulfilled the inclusion criteria. The results showed that wearable systems represent a promising solution as remote monitoring technologies, offering quantitative and clinically meaningful insights into the progress of individuals within a rehabilitation pathway. Recent trends indicate a growing use of low-cost, non-intrusive visual tracking devices, such as camera-based monitoring systems, within the domain of tele-rehabilitation. The integration of home-based monitoring devices alongside traditional rehabilitation methods is acquiring significant attention, offering broader access to high-quality care, and potentially reducing healthcare costs associated with in-person therapy."
78,1.0,2024,Computers in Biology and Medicine,10.1016/j.compbiomed.2024.108340,"Wang, K.; Ghafurian, M.; Chumachenko, D.; Cao, S.; Butt, Z.A.; Salim, S.; Abhari, S.; Morita, P.P.",Application of artificial intelligence in active assisted living for aging population in real-world setting with commercial devices – A scoping review,English,"Background: The aging population is steadily increasing, posing new challenges and opportunities for healthcare systems worldwide. Technological advancements, particularly in commercially available Active Assisted Living devices, offer a promising alternative. These readily accessible products, ranging from smartwatches to home automation systems, are often equipped with Artificial Intelligence capabilities that can monitor health metrics, predict adverse events, and facilitate a safer living environment. However, there is no review exploring how Artificial Intelligence has been integrated into commercially available Active Assisted Living technologies, and how these devices monitor health metrics and provide healthcare solutions in a real-world environment for healthy aging. This review is essential because it fills a knowledge gap in understanding AI's integration in Active Assisted Living technologies in promoting healthy aging in real-world settings, identifying key issues that require to be addressed in future studies. Objective: The aim of this overview is to outline current understanding, identify potential research opportunities, and highlight research gaps from published studies regarding the use of Artificial Intelligence in commercially available Active Assisted Living technologies that assists older individuals aging at home. Methods: A comprehensive search was conducted in six databases—PubMed, CINAHL, IEEE Xplore, Scopus, ACM Digital Library, and Web of Science—to identify relevant studies published over the past decade from 2013 to 2024. Our methodology adhered to the PRISMA extension for scoping reviews to ensure rigor and transparency throughout the review process. After applying predefined inclusion and exclusion criteria on 825 retrieved articles, a total of 64 papers were included for analysis and synthesis. Results: Several trends emerged from our analysis of the 64 selected papers. A majority of the work (39/64, 61%) was published after the year 2020. Geographically, most of the studies originated from East Asia and North America (36/64, 56%). The primary application goal of Artificial Intelligence in the reviewed literature was focused on activity recognition (34/64, 53%), followed by daily monitoring (10/64, 16%). Methodologically, tree-based and neural network-based approaches were the most prevalent Artificial Intelligence algorithms used in studies (32/64, 50% and 31/64, 48% respectively). A notable proportion of the studies (32/64, 50%) carried out their research using specially designed smart home testbeds that simulate the conditions in real-world. Moreover, ambient technology was a common thread (49/64, 77%), with occupancy-related data (such as motion and electrical appliance usage logs) and environmental sensors (indicators like temperature and humidity) being the most frequently used. Conclusion: Our results suggest that Artificial Intelligence has been increasingly deployed in the real-world Active Assisted Living context over the past decade, offering a variety of applications aimed at healthy aging and facilitating independent living for the older adults. A wide range of smart home indicators were leveraged for comprehensive data analysis, exploring and enhancing the potentials and effectiveness of solutions. However, our review has identified multiple research gaps that need further investigation. First, most research has been conducted in controlled testbed environments, leaving a lack of real-world applications that could validate the technologies' efficacy and scalability. Second, there is a noticeable absence of research leveraging cloud technology, an essential tool for large-scale deployment and standardized data collection and management. Future work should prioritize these areas to maximize the potential benefits of Artificial Intelligence in Active Assisted Living settings."
5,0.9995964,2024,Mikrochimica acta,10.1007/s00604-024-06350-z,"Thaweeskulchai, T.; Sakdaphetsiri, K.; Schulte, A.","Ten years of laser-induced graphene: impact and future prospect on biomedical, healthcare, and wearable technology",English,"Since its introduction in 2014, laser-induced graphene (LIG) from commercial polymers has been gaining interests in both academic and industrial sectors. This can be clearly seen from its mass adoption in various fields ranging from energy storage and sensing platforms to biomedical applications. LIG is a 3-dimensional, nanoporous graphene structure with highly tuneable electrical, physical, and chemical properties. LIG can be easily produced by single-step laser scribing at normal room temperature and pressure using easily accessible commercial level laser machines and materials. With the increasing demand for novel wearable devices for biomedical applications, LIG on flexible substrates can readily serve as a technological platform to be further developed for biomedical applications such as point-of-care (POC) testing and wearable devices for healthcare monitoring system. This review will provide a comprehensive grounding on LIG from its inception and fabrication mechanism to the characterization of its key functional properties. The exploration of biomedicals applications in the form of wearable and point-of-care devices will then be presented. Issue of health risk from accidental exposure to LIG will be covered. Then LIG-based wearable devices will be compared to devices of different materials. Finally, we discuss the implementation of Internet of Medical Things (IoMT) to wearable devices and explore and speculate on its potentials and challenges."
6,0.99696815,2024,International Journal of Medical Informatics,10.1016/j.ijmedinf.2024.105376,"Alsulami, S.; Konstantinidis, S.T.; Wharrad, H.",Use of wearables among Multiple Sclerosis patients and healthcare Professionals: A scoping review,English,"Introduction: Multiple sclerosis (MS) is an increasingly prevalent chronic, autoimmune, and inflammatory central nervous system illness, whose common symptoms undermine the quality of life of patients and their families. Recent technical breakthroughs potentially offer continuous, reliable, sensitive, and objective remote monitoring solutions for healthcare. Wearables can be useful for evaluating falls, fatigue, sedentary behavior, exercise, and sleep quality in people with MS (PwMS). Objective: This scoping review of relevant literature explores studies investigating the perceptions of patients and healthcare professionals (HCPs) about the use of wearable technologies in the management of MS. Methods: The Joanna Briggs Institute methodology for scoping reviews was used. The search strategy was applied to the databases, MEDLINE via Ovid, Embase, APA PsycInfo, and CINAHL. Further searches were performed in IEEE, Scopus, and Web of Science. The review considered studies reporting quantitative or qualitative data on perceptions and experiences of PwMS and HCPs concerning wearables’ usability, satisfaction, barriers, and facilitators. Results: 10 studies were included in this review. Wearables’ usefulness and accessibility, ease of use, awareness, and motivational tool potential were patient-perceived facilitators of use. Barriers related to anxiety and frustration, complexity, and the design of wearables. Perceived usefulness and system requirements are identified as facilitators of using wearables by HCPs, while data security concerns and fears of increased workload and limited effectiveness in the care plan are identified as barriers to use wearables. Conclusions: This review contributes to our understanding of the benefits of wearable technologies in MS by exploring perceptions of both PwMS and HCPs. The scoping review provided a broad overview of facilitators and barriers to wearable use in MS. There is a need for further studies underlined with sound theoretical frameworks to provide a robust evidence-base for the optimal use of wearables to empower healthcare users and providers."
79,1.0,2024,American Journal of Geriatric Psychiatry,10.1016/j.jagp.2024.01.221,"Greenwald, B.; Nikzad, A.; Scott, J.; Haque, R.; Mittal, S.; Vengassery, A.; Austria, B.; Rahaman, Y.; Mertz, K.; Ronay, A.",Feasibility of Remote Physiologic Monitoring (RPM) in Geriatric Psychiatry Clinic Patients,English,"Introduction: In the context of a pandemic-catalyzed movement to home-based healthcare, remote physiologic monitoring (RPM) is more actively emerging as a key tool, including in older patients. However, to our knowledge, limited information is available regarding RPM use in geriatric psychiatry patients. Methods: In concert with the RPM Workgroup of Northwell Health, a quality improvement (QI) initiative was launched to explore RPM feasibility in geriatric psychiatry outpatients. Wearable and non-wearable devices were selected. Geriatric psychiatrists referred appropriate patients from the Geriatric Psychiatry Clinic at Zucker Hillside Hospital in Queens, NY. Explanation/introduction of devices were made to patients, and agreement to participate achieved. The following devices were utilized. The “biobutton’ is a half-dollar sized wearable device that affixes to the chest, and measures heart rate (HR), respiratory rate (RR), sleep and activity. It passively collects data and then intermittently communicates to a nearby relay device which in turn transfers the data to the cloud. An intermediary health technology company then translates the data into a user-friendly dashboard that can be accessed by clinical providers through a portal. Ten patients were recruited for this pilot. The non-wearable devices employed were a blood pressure (BP) cuff and a weight scale with built-in SIM card-based connectivity that enables instant data transmission to a cloud-based clinician dashboard. These devices were demonstrated for patients to ensure familiarity with activation. Both devices were then sent to patients’ homes. Fifteen patients participated. Patients were provided with 24-hour phone support for potential glitches and concerns. Continued participation was based on the integrity of data flow and regular patient follow-ups. At the completion of each program, multi-parameter feasibility/satisfaction surveys (Likert-like 5 point scales; 1 = least favorable, 5 = most favorable) were administered to patients and geriatric psychiatrist providers. Results: Wearable/passive RPM (biobutton): The average scores over all survey questions were respectively 4.7 and 4.0 for patients and providers. Detailed participants’ ratings were: general satisfaction (4.7), satisfaction with the enrollment process (5), satisfaction with device maintenance (4.3), satisfaction with support (5), ease of use (5), interest to continue use (4.2), and recommending to others (4.5). Detailed providers’ ratings were: general satisfaction (3.8), satisfaction with enrollment process (4.8), accessibility of recorded data (4), satisfaction with support during pilot (4.6), clinical utility (3.8), interest to continue use (3.6), recommending to other patients (3.6) and to colleagues (4). Non-wearable/active RPM (BP cuff/weight scale): The average scores over all survey questions were respectively 4.6 and 4.5 for patients and providers. Detailed participants’ ratings were: general satisfaction (4.7), satisfaction with the enrollment process (4.8), satisfaction with device use (4.9), satisfaction with support (4.2), ease of use (4.3), interest to continue use (4.7), and recommending to others (4.9). Detailed providers’ ratings were: general satisfaction (4.5), satisfaction with enrollment process (4.5), accessibility of recorded data (4), satisfaction with support during pilot (4.5), clinical utility (5), interest to continue use (4.5), recommending to other patients (4.5) and to colleagues (4.5).In addition, preliminary qualitative feedback reported regularly encountered glitches with biobutton placement (e.g. inconsistent adhesion of biobutton to chest), consistency of data flow to relay device, and missing expected data points. In contrast, other than the single-size BP cuff being too small for one patient, no other problems were reported using the non-wearable devices. Conclusions: Wearable and non-wearable RPM devices can be successfully applied and utilized in populations of geriatric psychiatry outpatients. Although only a small number of collective patients (n = 25) participated, different age and diagnostic groups were represented, including, e.g., patients who were very old or demented. Overall, patients rated RPM feasibility ‘metrics’ higher than providers. Providers rated overall clinical utility of the biobutton as less meaningful than BP and weight recordings, however further inquiry may reveal differences for individual biobutton parameters (i.e. HR, RR, sleep, activity). Multiple-component RPM had greater challenges and less provider satisfaction, suggesting that device simplicity is especially relevant in this population."
