Cluster ID,confidence_score,year,venue,doi,authors,title,publication_language,abstract
0,0.7424874,2024,"Sensors (Basel, Switzerland)",10.3390/s24030938,"Bathalapalli, V.K.V.V.; Mohanty, S.P.; Kougianos, E.; Iyer, V.; Rout, B.",PUFchain 3.0: Hardware-Assisted Distributed Ledger for Robust Authentication in Healthcare Cyber-Physical Systems,English,"This article presents a novel hardware-assisted distributed ledger-based solution for simultaneous device and data security in smart healthcare. This article presents a novel architecture that integrates PUF, blockchain, and Tangle for Security-by-Design (SbD) of healthcare cyber-physical systems (H-CPSs). Healthcare systems around the world have undergone massive technological transformation and have seen growing adoption with the advancement of Internet-of-Medical Things (IoMT). The technological transformation of healthcare systems to telemedicine, e-health, connected health, and remote health is being made possible with the sophisticated integration of IoMT with machine learning, big data, artificial intelligence (AI), and other technologies. As healthcare systems are becoming more accessible and advanced, security and privacy have become pivotal for the smooth integration and functioning of various systems in H-CPSs. In this work, we present a novel approach that integrates PUF with IOTA Tangle and blockchain and works by storing the PUF keys of a patient's Body Area Network (BAN) inside blockchain to access, store, and share globally. Each patient has a network of smart wearables and a gateway to obtain the physiological sensor data securely. To facilitate communication among various stakeholders in healthcare systems, IOTA Tangle's Masked Authentication Messaging (MAM) communication protocol has been used, which securely enables patients to communicate, share, and store data on Tangle. The MAM channel works in the restricted mode in the proposed architecture, which can be accessed using the patient's gateway PUF key. Furthermore, the successful verification of PUF enables patients to securely send and share physiological sensor data from various wearable and implantable medical devices embedded with PUF. Finally, healthcare system entities like physicians, hospital admin networks, and remote monitoring systems can securely establish communication with patients using MAM and retrieve the patient's BAN PUF keys from the blockchain securely. Our experimental analysis shows that the proposed approach successfully integrates three security primitives, PUF, blockchain, and Tangle, providing decentralized access control and security in H-CPS with minimal energy requirements, data storage, and response time."
1,0.72568786,2023,Zhongguo yi liao qi xie za zhi = Chinese journal of medical instrumentation,10.3969/j.issn.1671-7104.2023.05.021,"Liu, W.; Li, B.; Ji, Z.",Research Overview of Internet of Things Technology in Medical Engineering,Chinese,"Internet of Things plays a vital role in the field of healthcare. Smart medical devices, innovative sensors and lightweight communication protocols are making the Internet of Medical Things possible. This paper summarizes the research progress of Internet of Things technology in medical engineering from two aspects of health monitoring system and ingestible sensor monitoring equipment. The health monitoring system is analyzed from heart disease monitoring, diabetes monitoring and brain nerve monitoring. The medical equipment that can absorb sensors is represented by capsule endoscope. This paper further summarizes the relevant situation of smart hospital, and finally discusses the challenges and countermeasures of the Internet of Things technology in medical engineering, in order to lay the foundation and provide ideas for the research of the Internet of Things technology in medical engineering."
23,1.0,2023,Medical Devices: Evidence and Research,10.2147/MDER.S392999,"Smiley, A.; Tsai, T.-Y.; Havrylchuk, I.; Cui, W.; Parvanova, I.; Zakashansky, E.; Xhakli, T.; Cui, H.; Finkelstein, J.",Development and Evaluation of Wireless Interfaces to Monitor and Control Cycling Exercise During Home Telerehabilitation,English,"Purpose: This paper focuses on developing and testing three versions of interactive bike (iBikE) interfaces for remote monitoring and control of cycling exercise sessions to promote upper and lower limb rehabilitation. Methods: Two versions of the system, which consisted of a portable bike and a tablet PC, were designed to communicate through either Bluetooth low energy (BLE) or Wi-Fi interfaces for real-time monitoring of exercise progress by both the users and their clinical team. The third version of the iBikE system consisted of a motorized bike and a tablet PC. It utilized conventional Bluetooth to implement remote control of the motorized bike’s speed during an exercise session as well as to provide real-time visualization of the exercise progress. We developed three customized tablet PC apps with similar user interfaces but different communication protocols for all the platforms to provide a graphical representation of exercise progress. The same microcontroller unit (MCU), ESP-32, was used in all the systems. Results: Each system was tested in 1-minute exercise sessions at various speeds. To evaluate the accuracy of the measured data, in addition to reading speed values from the iBikE app, the cycling speed of the bikes was measured continuously using a tachometer. The mean differences of averaged RPMs for both data sets were calculated. The calculated values were 0.38 ± 0.03, 0.25 ± 0.27, and 6.7 ± 3.3 for the BLE system, the Wi-Fi system, and the conventional Bluetooth system, respectively. Conclusion: All interfaces provided sufficient accuracy for use in telerehabilitation."
2,0.74601936,2022,Smart Health,10.1016/j.smhl.2022.100305,"Vyas, A.; Pal, S.; Kaur, K.",Remote patient monitoring service for sleeping human postures in a WBAN,English,"Wireless Body Area Networks (WBANs) provide wireless remote patient monitoring services where doctors get patients' health records without physically visiting them. In WBANs, biosensors are placed on the patient's body that sense and transmit physiological data to the paired medical personnel. Such medical setups are appropriate for COVID-19 patient monitoring, where the patient remains isolated for an extended period. Sometimes, human body parts impede the signals transmitted by biosensors to the coordinator and this type of occlusion lasts for a longer duration during sleeping human postures. In such circumstances, an intermediate biosensor forwards the signals of the occluded biosensor node. The forwarding of messages results in quick depletion of energy resources at the intermediate biosensor, affecting the overall WBAN services. To resolve this, first, we propose an adaptive Relay-Node Centric (RNC) relay-based communication protocol for WBANs, which reduces energy used in relaying and improves the stability period of the network. Second, we design a novel simulation model using an existing real-life experimental dataset to simulate a WBAN placed on the sleeping patient's body. We derive a Discrete Markov Chain (DTMC) model from real-life data and use human biomechanisms to simulate biosensors' connectivity status in four human sleeping positions. Lastly, we evaluate the performance of RNC against the existing cost-function-based and Analytical Hierarchical Process (AHP) based relay selection protocols. Results obtained on the real-life dataset and designed simulation model show that RNC outperforms the existing methods in terms of network stability period and packet success ratio."
3,0.74601156,2022,IEEE Transactions on Biomedical Engineering,10.1109/TBME.2022.3158544,"Qiu, C.; Wu, F.; Han, W.; Yuce, M.R.",A Wearable Bioimpedance Chest Patch for Real-Time Ambulatory Respiratory Monitoring,English,"Objective: This paper aims to introduce a wearable solution and a low-complexity algorithm for real-time continuous ambulatory respiratory monitoring. Methods: A wearable chest patch is designed using a bioimpedance (BioZ) sensor to measure the changes in chest impedance caused by breathing. Besides, a medical-grade infrared temperature sensor is utilized to monitor body temperature. The computing algorithm implemented on the patch enables computation of breath-by-breath respiratory rate and chest temperature in real-time. Two wireless communication protocols are included in the system, namely Bluetooth and Long Range (LoRa), which enable both short-range and long-range data transmission. Results: The breathing rate measured in static (i.e., standing, sitting, supine, and lateral lying) and dynamic (i.e., walking, running, and cycling) positions by our device yielded an accuracy of more than 97.8% and 98.5% relative to the ground truth, respectively. Additionally, the device's performance is evaluated in real-world scenarios both indoors and outdoors. Conclusion: The proposed system is capable of measuring breathing rate throughout a variety of daily activities. To the best of our knowledge, this is the first BioZ-based wearable patch capable of detecting breath-by-breath respiratory rate in real-time remotely under unrestricted ambulatory conditions. Significance: This study establishes a strategy for continuous respiratory monitoring that could aid in the early detection of cardiopulmonary disorders in everyday life."
24,1.0,2022,NeuroQuantology,10.14704/NQ.2022.20.11.NQ66051,"Rajeswari, S.; Arunmozhi, S.A.; Venkataramani, Y.",Wireless Sensor-Based Hashing Technique For Secure Patient Record Transferring In Biometrics System,English,"Over the past two periods, advancements in communication technology have exploded, with the last decade seeing an unprecedented explosion in the production of numerous cutting-edge, handheld and small communication devices. Modern, high-speed wireless communication technologies that employ complex network and communication protocols and standards have quickly supplanted the traditional wired scheme of communication. Wireless medical sensor networks are a promising application of WSNs in healthcare since they allow for remote patient monitoring (WMSNs). Reliable patient communication, patient mobility, and energy-efficient routing are at the forefront of current WMSN healthcare research developments. Nonetheless, patients' personal information is at risk when new technologies are implemented in healthcare applications without proper security measures being taken. In this study, we present a privacy-preserving strategy for the secure transfer of medical records over WSNs by combining secret sharing, and hashing. The healthcare information gathered by a wireless sensor network is broken down into subsets. In addition, a popular hashing algorithm is used to determine a unique identifier for each constituent. Any alterations to the message will result in a different hash value. Multipath routing is then used to send these parts to the servers. In order to verify the efficacy of the new method, this paper presents comprehensive simulations. The results indicate that secret splitting, in conjunction with multipath routing, aids in the maintenance of confidentiality in a wireless sensor network-based healthcare scheme."
4,0.7459252,2022,International Journal of Medical Engineering and Informatics,10.1504/IJMEI.2022.125311,"Thite, T.G.; Bhalke, D.G.",Real-time electrocardiogram monitoring for heart diseases with secured internet of thing protocol,English,"Real-time effective ECG data collecting, transmitting, and monitoring system with feature extraction is a big challenge in biomedical signal processing. The electrocardiogram is a widely used testing system to measure and analyse coronary heart diseases, i.e., cardiovascular diseases (CVDs). Heart rate remote monitoring under the service provided by hospital equipment is the technology that currently needs to improve. IoT enabled medical device helps to achieve this efficiently. To design such systems energy-efficient communication protocol, data-transfer minimisation, assurance of delivery (security), heterogeneous natures of the environment are necessary considerations. This paper outlines a literature survey of three main important areas; ‘real-time ECG monitoring using wearable sensors’, ‘feature extraction and classification method for real-time ECG monitoring’, and ‘secured IoT protocol for real-time ECG monitoring’."
5,0.7402776,2021,Diagnostics,10.3390/diagnostics11040607,"El-Rashidy, N.; El-Sappagh, S.; Riazul Islam, S.M.; El-Bakry, H.M.; Abdelrazek, S.","Mobile health in remote patient monitoring for chronic diseases: Principles, trends, and challenges",English,"Chronic diseases are becoming more widespread. Treatment and monitoring of these diseases require going to hospitals frequently, which increases the burdens of hospitals and patients. Presently, advancements in wearable sensors and communication protocol contribute to enriching the healthcare system in a way that will reshape healthcare services shortly. Remote patient monitoring (RPM) is the foremost of these advancements. RPM systems are based on the collection of patient vital signs extracted using invasive and noninvasive techniques, then sending them in real-time to physicians. These data may help physicians in taking the right decision at the right time. The main objective of this paper is to outline research directions on remote patient monitoring, explain the role of AI in building RPM systems, make an overview of the state of the art of RPM, its advantages, its challenges, and its probable future directions. For studying the literature, five databases have been chosen (i.e., science direct, IEEE-Explore, Springer, PubMed, and science.gov). We followed the (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) PRISMA, which is a standard methodology for systematic reviews and meta-analyses. A total of 56 articles are reviewed based on the combination of a set of selected search terms including RPM, data mining, clinical decision support system, electronic health record, cloud computing, internet of things, and wireless body area network. The result of this study approved the effectiveness of RPM in improving healthcare delivery, increase diagnosis speed, and reduce costs. To this end, we also present the chronic disease monitoring system as a case study to provide enhanced solutions for RPMs."
6,0.74599546,2020,BioMedical Engineering Online,10.1186/s12938-020-00825-9,"Coulby, G.; Clear, A.; Jones, O.; Young, F.; Stuart, S.; Godfrey, A.","Towards remote healthcare monitoring using accessible IoT technology: state-of-the-art, insights and experimental design",English,"Healthcare studies are moving toward individualised measurement. There is need to move beyond supervised assessments in the laboratory/clinic. Longitudinal free-living assessment can provide a wealth of information on patient pathology and habitual behaviour, but cost and complexity of equipment have typically been a barrier. Lack of supervised conditions within free-living assessment means there is need to augment these studies with environmental analysis to provide context to individual measurements. This paper reviews low-cost and accessible Internet of Things (IoT) technologies with the aim of informing biomedical engineers of possibilities, workflows and limitations they present. In doing so, we evidence their use within healthcare research through literature and experimentation. As hardware becomes more affordable and feature rich, the cost of data magnifies. This can be limiting for biomedical engineers exploring low-cost solutions as data costs can make IoT approaches unscalable. IoT technologies can be exploited by biomedical engineers, but more research is needed before these technologies can become commonplace for clinicians and healthcare practitioners. It is hoped that the insights provided by this paper will better equip biomedical engineers to lead and monitor multi-disciplinary research investigations."
7,0.7290745,2020,"Sensors (Basel, Switzerland)",10.3390/s20174828,"Koutras, D.; Stergiopoulos, G.; Dasaklis, T.; Kotzanikolaou, P.; Glynos, D.; Douligeris, C.",Security in IoMT Communications: A Survey,English,"The Internet of Medical Things (IoMT) couples IoT technologies with healthcare services in order to support real-time, remote patient monitoring and treatment. However, the interconnectivity of critical medical devices with other systems in various network layers creates new opportunities for remote adversaries. Since most of the communication protocols have not been specifically designed for the needs of connected medical devices, there is a need to classify the available IoT communication technologies in terms of security. In this paper we classify IoT communication protocols, with respect to their application in IoMT. Then we describe the main characteristics of IoT communication protocols used at the perception, network and application layer of medical devices. We examine the inherent security characteristics and limitations of IoMT-specific communication protocols. Based on realistic attacks we identify available mitigation controls that may be applied to secure IoMT communications, as well as existing research and implementation gaps."
