Cluster ID,confidence_score,year,venue,doi,authors,title,publication_language,abstract
0,0.9942122,2024,Journal of Cardiology,10.1016/j.jjcc.2024.04.009,"Kagiyama, N.; Kasai, T.; Murata, N.; Yamakawa, N.; Tanaka, Y.; Hiki, M.; Inoue, K.; Sato, A.; Ishiwata, S.; Murata, A.; Shitara, J.; Kato, T.; Suda, S.; Matsue, Y.; Naito, R.; Minamino, T.; Yanagisawa, N.; Daida, H.",Feasibility of self-measurement telemonitoring using a handheld heart sound recorder in patients with heart failure – SELPH multicenter pilot study,English,"Background: Multi-parametric assessment, including heart sounds in addition to conventional parameters, may enhance the efficacy of noninvasive telemonitoring for heart failure (HF). We sought to assess the feasibility of self-telemonitoring with multiple devices including a handheld heart sound recorder and its association with clinical events in patients with HF. Methods: Ambulatory HF patients recorded their own heart sounds, mono‑lead electrocardiograms, oxygen saturation, body weight, and vital signs using multiple devices every morning for six months. Results: In the 77 patients enrolled (63 ± 13 years old, 84 % male), daily measurements were feasible with a self-measurement rate of >70 % of days in 75 % of patients. Younger age and higher Minnesota Living with Heart Failure Questionnaire scores were independently associated with lower adherence (p = 0.002 and 0.027, respectively). A usability questionnaire showed that 87 % of patients felt self-telemonitoring was helpful, and 96 % could use the devices without routine cohabitant support. Six patients experienced ten HF events of re-hospitalization and/or unplanned hospital visits due to HF. In patients who experienced HF events, a significant increase in heart rate and diastolic blood pressure and a decrease in the time interval from Q wave onset to the second heart sound were observed 7 days before the events compared with those without HF events. Conclusions: Self-telemonitoring with multiple devices including a handheld heart sound recorder was feasible even in elderly patients with HF. This intervention may confer a sense of relief to patients and enable monitoring of physiological parameters that could be valuable in detecting the deterioration of HF."
1,0.9986338,2024,Journal of Neuromuscular Diseases,10.3233/JND-240004,"Arteaga-Bracho, E.; Cosne, G.; Kanzler, C.; Karatsidis, A.; Mazzà, C.; Penalver-Andres, J.; Zhu, C.; Shen, C.; Erb M, K.; Freigang, M.; Lapp, H.-S.; Thiele, S.; Wenninger, S.; Jung, E.; Petri, S.; Weiler, M.; Kleinschnitz, C.; Walter, M.C.; Günther, R.; Campbell, N.; Belachew, S.; Hagenacker, T.",Smartphone-Based Assessment of Mobility and Manual Dexterity in Adult People with Spinal Muscular Atrophy,English,"Background: More responsive, reliable, and clinically valid endpoints of disability are essential to reduce size, duration, and burden of clinical trials in adult persons with spinal muscular atrophy (aPwSMA). Objective: The aim is to investigate the feasibility of smartphone-based assessments in aPwSMA and provide evidence on the reliability and construct validity of sensor-derived measures (SDMs) of mobility and manual dexterity collected remotely in aPwSMA. Methods: Data were collected from 59 aPwSMA (23 walkers, 20 sitters and 16 non-sitters) and 30 age-matched healthy controls (HC). SDMs were extracted from five smartphone-based tests capturing mobility and manual dexterity, which were administered in-clinic and remotely in daily life for four weeks. Reliability (Intraclass Correlation Coefficients, ICC) and construct validity (ability to discriminate between HC and aPwSMA and correlations with Revised Upper Limb Module, RULM and Hammersmith Functional Scale - Expanded HFMSE) were quantified for all SDMs. Results: The smartphone-based assessments proved feasible, with 92.1% average adherence in aPwSMA. The SDMs allowed to reliably assess both mobility and dexterity (ICC>0.75 for 14/22 SDMs). Twenty-one out of 22 SDMs significantly discriminated between HC and aPwSMA. The highest correlations with the RULM were observed for SDMs from the manual dexterity tests in both non-sitters (Typing, ρ=0.78) and sitters (Pinching, ρ=0.75). In walkers, the highest correlation was between mobility tests and HFMSE (5 U-Turns, ρ=0.79). Conclusions: This exploratory study provides preliminary evidence for the usability of smartphone-based assessments of mobility and manual dexterity in aPwSMA when deployed remotely in participants' daily life. Reliability and construct validity of SDMs remotely collected in real-life was demonstrated, which is a pre-requisite for their use in longitudinal trials. Additionally, three novel smartphone-based performance outcome assessments were successfully established for aPwSMA. Upon further validation of responsiveness to interventions, this technology holds potential to increase the efficiency of clinical trials in aPwSMA."
2,0.9954049,2024,Sleep,10.1093/sleep/zsae083,"Gnarra, O.; Van Der Meer, J.; Warncke, J.D.; Fregolente, L.G.; Wenz, E.; Zub, K.; Nwachukwu, U.; Zhang, Z.; Khatami, R.; Von Manitius, S.; Miano, S.; Acker, J.; Strub, M.; Riener, R.; Bassetti, C.L.A.; Schmidt, M.H.",The Swiss Primary Hypersomnolence and Narcolepsy Cohort Study: feasibility of long-term monitoring with Fitbit smartwatches in central disorders of hypersomnolence and extraction of digital biomarkers in narcolepsy,English,"The Swiss Primary Hypersomnolence and Narcolepsy Cohort Study (SPHYNCS) is a multicenter research initiative to identify new biomarkers in central disorders of hypersomnolence (CDH). Whereas narcolepsy type 1 (NT1) is well characterized, other CDH disorders lack precise biomarkers. In SPHYNCS, we utilized Fitbit smartwatches to monitor physical activity, heart rate, and sleep parameters over 1 year. We examined the feasibility of long-term ambulatory monitoring using the wearable device. We then explored digital biomarkers differentiating patients with NT1 from healthy controls (HC). A total of 115 participants received a Fitbit smartwatch. Using a adherence metric to evaluate the usability of the wearable device, we found an overall adherence rate of 80% over 1 year. We calculated daily physical activity, heart rate, and sleep parameters from 2 weeks of greatest adherence to compare NT1 (n=20) and HC (n=9) participants. Compared to controls, NT1 patients demonstrated findings consistent with increased sleep fragmentation, including significantly greater wake-after-sleep onset (p=.007) and awakening index (p=.025), as well as standard deviation of time in bed (p=.044). Moreover, NT1 patients exhibited a significantly shorter REM latency (p=.019), and sleep latency (p=.001), as well as a lower peak heart rate (p=.008), heart rate standard deviation (p=.039) and high-intensity activity (p=.009) compared to HC. This ongoing study demonstrates the feasibility of long-term monitoring with wearable technology in patients with CDH and potentially identifies a digital biomarker profile for NT1. While further validation is needed in larger datasets, these data suggest that long-term wearable technology may play a future role in diagnosing and managing narcolepsy."
116,1.0,2024,Age and Ageing,10.1093/ageing/afae139.080,"Pugmire, J.; Wilkes, M.; Kramer, A.; Zaniello, B.; Zahradka, N.","Geriatric patients in virtual wards; technology adoption style, ease of use, and adherence to remote monitoring technology",English,"Introduction: NHS England is committed to the expansion of virtual wards, necessitating patient engagement with home care technology. Literature suggests there is a technology adoption lag among older populations. We investigated if this lag was evident in geriatric virtual ward patients. Methods: Data from three NHS trusts using a virtual care platform (March 2021- August 2023) were aggregated to assess differences in perceived ease of use, technology adoption style, and measures of adherence. All patients received the Telehealth Usability Questionnaire Ease of Use (EOU) subsection (higher scores indicate higher EOU). Patients completed surveys via tablet, wore monitoring devices, and took blood pressure readings. We dichotomised age (<75 vs. 75+) and used Fisher's exact and Wilcoxon-Mann- Whitney tests. Results: Of 857 patients, 36.9% were geriatric (mean age 81.5 years). The younger group (mean age 59.1 years) had 541 patients. Gender was evenly split between age groups (p = 0.62). Median EOU scores were 5.5 (geriatric) and 6.2 (younger) (p<0.001). Geriatric patients were more likely to avoid or delay technology adoption (82% vs. 56% in younger patients, p<0.001). Geriatric patients had higher adherence to the wearable device (median 95.3%) compared to younger patients (93.3%, p<0.001). Blood pressure (median 81.6%) and survey adherence (median 83.3%) did not significantly differ between groups (p = 0.076, p = 0.0501). Conclusions: Despite perceptions and literature suggesting older patients are less comfortable with technology, our findings demonstrate high engagement in virtual ward technology. While differences exist in technology adoption and EOU scores, geriatric patients exhibit equal or higher adherence to remote monitoring tasks. These results challenge stereotypes and underscore the importance of incorporating technology in geriatric care."
3,0.996749,2024,ACS applied materials & interfaces,10.1021/acsami.4c06993,"Zhu, S.; Xiong, F.; Gu, Y.; Chen, W.; Fan, Q.; Lu, H.; Wang, T.; Yang, B.-R.; Deng, S.",Low Driving Voltage Electroluminescence Device for Integrated Visual Strain Sensing,English,"As a pivotal component in human-machine interactions, display devices have undergone rapid development in modern life. Displays such as alternative current electroluminescence|alternative current electroluminescent (ACEL) devices with high flexibility and long operational lifetimes are essential for wearable electronics. However, ACEL devices are constrained by their inherent high driving voltage and complex fabrication processes. Our work presents an easy blade-coating method for fabricating flexible ACEL display devices based on an all-solution process. By dispersing BaTiO3 and ZnS/Cu powder into waterborne polyurethane, we successfully combined dielectric and fluorescence functionalities within a single layer, significantly reducing the device's driving voltage. Additionally, the ionic conducting hydrogel was chosen as a transparent electrode to achieve good electrical contact and strong interfacial adhesion through in situ polymerization. Owing to the unique method, our ACEL device exhibits high flexibility, low driving voltage (20-100 V), high brightness (300+ cd/m2 at 60 V), and environmental friendliness. Furthermore, by repurposing the hydrogel electrode, we integrated strain visualization capabilities within a single device, highlighting its potential for applications such as wearable healthcare monitoring."
4,0.9975259,2024,"Sensors (Basel, Switzerland)",10.3390/s24123977,"Baumann, S.; Stone, R.T.; Abdelall, E.",Introducing a Remote Patient Monitoring Usability Impact Model to Overcome Challenges,English,"Telehealth and remote patient monitoring (RPM), in particular, have been through a massive surge of adoption since 2020. This initiative has proven potential for the patient and the healthcare provider in areas such as reductions in the cost of care. While home-use medical devices or wearables have been shown to be beneficial, a literature review illustrates challenges with the data generated, driven by limited device usability. This could lead to inaccurate data when an exam is completed without clinical supervision, with the consequence that incorrect data lead to improper treatment. Upon further analysis of the existing literature, the RPM Usability Impact model is introduced. The goal is to guide researchers and device manufacturers to increase the usability of wearable and home-use medical devices in the future. The importance of this model is highlighted when the user-centered design process is integrated, which is needed to develop these types of devices to provide the proper user experience."
5,0.9994105,2024,Children,10.3390/children11060683,"Zuccotti, G.; Marsilio, M.; Fiori, L.; Erba, P.; Destro, F.; Zamana, C.; Folgori, L.; Mandelli, A.; Braghieri, D.; Guglielmetti, C.; Pisarra, M.; Magnani, L.; Infante, G.; Dilillo, D.; Fabiano, V.; Carlucci, P.; Zoia, E.; Pelizzo, G.; Calcaterra, V.",Leveraging User-Friendly Mobile Medical Devices to Facilitate Early Hospital Discharges in a Pediatric Setting: A Randomized Trial Study Protocol,English,"Background: Mobile technology is increasingly prevalent in healthcare, serving various purposes, including remote health monitoring and patient self-management, which could prove beneficial to early hospital discharges. Aims: This study investigates the transitional care program experience facilitating early discharges in a pediatric setting through the use of an easy-to-use mobile medical device (TytoCare™, TytoCare Ltd., Natanya, Israel). Outcomes: This study aims to assess the effectiveness of telehomecare in achieving complete resolution of diseases without readmission, compare the length of stay between intervention and standard care groups, and gather user and professional experiences. Methods: A randomized open-label, controlled pilot study enrolled 102 children, randomly assigned to the telehomecare (TELE) group (n = 51, adopting early hospital discharge with continued home monitoring) or the standard-of-care (STAND) group (n = 51). Primary outcomes include complete disease resolution without readmission. Secondary objectives include recording a shorter length of stay in the intervention group. Surveys on user and professional experiences were conducted. A group of 51 children declining telemedicine services (NO-TELE) was also included. Results: In the TELE group, 100% of children achieved complete disease resolution without readmission, with a median duration of stay of 4 days, significantly shorter than the 7 days in the STAND group (p = 0.01). The telemedicine system demonstrated efficient performance and high satisfaction levels. The NO-TELE group showed no significant differences in demographics or digital technology competence. Perceived benefits of telemedicine included time and cost savings, reduced hospital stays, and technology utility and usability. Conclusions: This study demonstrates that user-friendly mobile medical devices effectively facilitate early hospital discharges in a pediatric setting. These devices serve as a bridge between home and hospital, optimizing care pathways."
6,0.9976669,2024,"Sensors (Basel, Switzerland)",10.3390/s24072260,"Baumann, S.; Stone, R.; Kim, J.Y.-M.",Introducing the Pi-CON Methodology to Overcome Usability Deficits during Remote Patient Monitoring,English,"The adoption of telehealth has soared, and with that the acceptance of Remote Patient Monitoring (RPM) and virtual care. A review of the literature illustrates, however, that poor device usability can impact the generated data when using Patient-Generated Health Data (PGHD) devices, such as wearables or home use medical devices, when used outside a health facility. The Pi-CON methodology is introduced to overcome these challenges and guide the definition of user-friendly and intuitive devices in the future. Pi-CON stands for passive, continuous, and non-contact, and describes the ability to acquire health data, such as vital signs, continuously and passively with limited user interaction and without attaching any sensors to the patient. The paper highlights the advantages of Pi-CON by leveraging various sensors and techniques, such as radar, remote photoplethysmography, and infrared. It illustrates potential concerns and discusses future applications Pi-CON could be used for, including gait and fall monitoring by installing an omnipresent sensor based on the Pi-CON methodology. This would allow automatic data collection once a person is recognized, and could be extended with an integrated gateway so multiple cameras could be installed to enable data feeds to a cloud-based interface, allowing clinicians and family members to monitor patient health status remotely at any time."
7,0.9965053,2024,International Journal of Medical Informatics,10.1016/j.ijmedinf.2024.105376,"Alsulami, S.; Konstantinidis, S.T.; Wharrad, H.",Use of wearables among Multiple Sclerosis patients and healthcare Professionals: A scoping review,English,"Introduction: Multiple sclerosis (MS) is an increasingly prevalent chronic, autoimmune, and inflammatory central nervous system illness, whose common symptoms undermine the quality of life of patients and their families. Recent technical breakthroughs potentially offer continuous, reliable, sensitive, and objective remote monitoring solutions for healthcare. Wearables can be useful for evaluating falls, fatigue, sedentary behavior, exercise, and sleep quality in people with MS (PwMS). Objective: This scoping review of relevant literature explores studies investigating the perceptions of patients and healthcare professionals (HCPs) about the use of wearable technologies in the management of MS. Methods: The Joanna Briggs Institute methodology for scoping reviews was used. The search strategy was applied to the databases, MEDLINE via Ovid, Embase, APA PsycInfo, and CINAHL. Further searches were performed in IEEE, Scopus, and Web of Science. The review considered studies reporting quantitative or qualitative data on perceptions and experiences of PwMS and HCPs concerning wearables’ usability, satisfaction, barriers, and facilitators. Results: 10 studies were included in this review. Wearables’ usefulness and accessibility, ease of use, awareness, and motivational tool potential were patient-perceived facilitators of use. Barriers related to anxiety and frustration, complexity, and the design of wearables. Perceived usefulness and system requirements are identified as facilitators of using wearables by HCPs, while data security concerns and fears of increased workload and limited effectiveness in the care plan are identified as barriers to use wearables. Conclusions: This review contributes to our understanding of the benefits of wearable technologies in MS by exploring perceptions of both PwMS and HCPs. The scoping review provided a broad overview of facilitators and barriers to wearable use in MS. There is a need for further studies underlined with sound theoretical frameworks to provide a robust evidence-base for the optimal use of wearables to empower healthcare users and providers."
8,0.9976537,2024,Contemporary Clinical Trials Communications,10.1016/j.conctc.2024.101271,"Turner, K.; Kim, D.W.; Gonzalez, B.D.; Gore, L.R.; Gurd, E.; Milano, J.; Riccardi, D.; Byrne, M.; Al-Jumayli, M.; de Castria, T.B.; Laber, D.A.; Hoffe, S.; Costello, J.; Robinson, E.; Chadha, J.S.; Rajasekhara, S.; Hume, E.; Hagen, R.; Nguyen, O.T.; Nardella, N.; Parker, N.; Carson, T.L.; Tabriz, A.A.; Hodul, P.","Support Through Remote Observation and Nutrition Guidance (STRONG), a digital health intervention to reduce malnutrition among pancreatic cancer patients: A study protocol for a pilot randomized controlled trial",English,"Background: Malnutrition is a common and distressing condition among pancreatic cancer patients. Fewer than a quarter of pancreatic cancer patients receive medical nutrition therapy (MNT), important for improving nutritional status, weight maintenance, quality of life and survival. System, provider, and patient level barriers limit access to MNT. We propose to examine the feasibility of a 12-week multi-level, digital health intervention designed to expand MNT access among pancreatic cancer patients. Methods: Individuals with advanced pancreatic cancer starting chemotherapy (N = 80) will be 1:1 randomized to the intervention or usual care. The Support Through Remote Observation and Nutrition Guidance (STRONG) intervention includes system-level (e.g., routine malnutrition and screening), provider-level (e.g., dietitian training and web-based dashboard), and patient-level strategies (e.g., individualized nutrition plan, self-monitoring of dietary intake via Fitbit, ongoing goal monitoring and feedback). Individuals receiving usual care will be referred to dietitians based on their oncologists’ discretion. Study assessments will be completed at baseline, 4-, 8-, 12-, and 16-weeks. Results: Primary outcomes will be feasibility (e.g., recruitment, retention, assessment completion) and acceptability. We will collect additional implementation outcomes, such as intervention adherence, perceived usability, and feedback on intervention quality via an exit interview. We will collect preliminary data on outcomes that may be associated with the intervention including malnutrition, quality of life, treatment outcomes, and survival. Conclusion: This study will advance our knowledge on the feasibility of a digital health intervention to reduce malnutrition among individuals with advanced pancreatic cancer. Trial registration: NCT05675059, registered on December 9, 2022."
