year,venue,doi,authors,title,publication_language,abstract
2024,BMC Medicine,10.1186/s12916-024-03252-y,"Rykov, Y.G.; Patterson, M.D.; Gangwar, B.A.; Jabar, S.B.; Leonardo, J.; Ng, K.P.; Kandiah, N.",Predicting cognitive scores from wearable-based digital physiological features using machine learning: data from a clinical trial in mild cognitive impairment,English,"Background: Continuous assessment and remote monitoring of cognitive function in individuals with mild cognitive impairment (MCI) enables tracking therapeutic effects and modifying treatment to achieve better clinical outcomes. While standardized neuropsychological tests are inconvenient for this purpose, wearable sensor technology collecting physiological and behavioral data looks promising to provide proxy measures of cognitive function. The objective of this study was to evaluate the predictive ability of digital physiological features, based on sensor data from wrist-worn wearables, in determining neuropsychological test scores in individuals with MCI. Methods: We used the dataset collected from a 10-week single-arm clinical trial in older adults (50–70 years old) diagnosed with amnestic MCI (N = 30) who received a digitally delivered multidomain therapeutic intervention. Cognitive performance was assessed before and after the intervention using the Neuropsychological Test Battery (NTB) from which composite scores were calculated (executive function, processing speed, immediate memory, delayed memory and global cognition). The Empatica E4, a wrist-wearable medical-grade device, was used to collect physiological data including blood volume pulse, electrodermal activity, and skin temperature. We processed sensors’ data and extracted a range of physiological features. We used interpolated NTB scores for 10-day intervals to test predictability of scores over short periods and to leverage the maximum of wearable data available. In addition, we used individually centered data which represents deviations from personal baselines. Supervised machine learning was used to train models predicting NTB scores from digital physiological features and demographics. Performance was evaluated using “leave-one-subject-out” and “leave-one-interval-out” cross-validation. Results: The final sample included 96 aggregated data intervals from 17 individuals. In total, 106 digital physiological features were extracted. We found that physiological features, especially measures of heart rate variability, correlated most strongly to the executive function compared to other cognitive composites. The model predicted the actual executive function scores with correlation r = 0.69 and intra-individual changes in executive function scores with r = 0.61. Conclusions: Our findings demonstrated that wearable-based physiological measures, primarily HRV, have potential to be used for the continuous assessments of cognitive function in individuals with MCI."
2024,BMC Palliative Care,10.1186/s12904-024-01392-9,"Homdee, N.; Lach, J.; Blackhall, L.; LeBaron, V.",The influence of ambient environmental factors on breakthrough Cancer pain: insights from remote health home monitoring and a proposed data analytic approach,English,"Background: Breakthrough cancer pain (BTCP) is primarily managed at home and can stem from physical exertion and emotional distress triggers. Beyond these triggers, the impact of ambient environment on pain occurrence and intensity has not been investigated. This study explores the impact of environmental factors on the frequency and severity of breakthrough cancer pain (BTCP) in the home context from the perspective of patients with advanced cancer and their primary family caregiver. Methods: A health monitoring system was deployed in the homes of patient and family caregiver dyads to collect self-reported pain events and contextual environmental data (light, temperature, humidity, barometric pressure, ambient noise.) Correlation analysis examined the relationship between environmental factors with: 1) individually reported pain episodes and 2) overall pain trends in a 24-hour time window. Machine learning models were developed to explore how environmental factors may predict BTCP episodes. Results: Variability in correlation strength between environmental variables and pain reports among dyads was found. Light and noise show moderate association (r = 0.50–0.70) in 66% of total deployments. The strongest correlation for individual pain events involved barometric pressure (r = 0.90); for pain trends over 24-hours the strongest correlations involved humidity (r = 0.84) and barometric pressure (r = 0.83). Machine learning achieved 70% BTCP prediction accuracy. Conclusion: Our study provides insights into the role of ambient environmental factors in BTCP and offers novel opportunities to inform personalized pain management strategies, remotely support patients and their caregivers in self-symptom management. This research provides preliminary evidence of the impact of ambient environmental factors on BTCP in the home setting. We utilized real-world data and correlation analysis to provide an understanding of the relationship between environmental factors and cancer pain which may be helpful to others engaged in similar work."
2024,International Journal of Medical Informatics,10.1016/j.ijmedinf.2024.105608,"Ahmed Jasim, A.; Ata, O.; Hussein Salman, O.",Multisource Data Framework for Prehospital Emergency Triage in Real-Time IoMT-Based Telemedicine Systems,English,"Background and Objective: The Internet of Medical Things (IoMT) has revolutionized telemedicine by enabling the remote monitoring and management of patient care. Nevertheless, the process of regeneration presents the difficulty of effectively prioritizing the information of emergency patients in light of the extensive amount of data generated by several integrated health care devices. The main goal of this study is to be improving the procedure of prioritizing emergency patients by implementing the Real-time Triage Optimization Framework (RTOF), an innovative method that utilizes diverse data from the Internet of Medical Things (IoMT). Methods: The study's methodology utilized a variety of Internet of Medical Things (IoMT) data, such as sensor data and texts derived from electronic medical records. Tier 1 supplies sensor and textual data, and Tier 3 imports textual data from electronic medical records. We employed our methodologies to handle and examine data from a sample of 100,000 patients afflicted with hypertension and heart disease, employing artificial intelligence algorithms. We utilized five machine-learning algorithms to enhance the accuracy of triage. Results: The RTOF approach has remarkable efficacy in a simulated telemedicine environment, with a triage accuracy rate of 98%. The Random Forest algorithm exhibited superior performance compared to the other approaches under scrutiny. The performance characteristics attained were an accuracy rate of 98%, a precision rate of 99%, a sensitivity rate of 98%, and a specificity rate of 100%. The findings show a significant improvement compared to the present triage methods. Conclusions: The efficiency of RTOF surpasses that of existing triage frameworks, showcasing its significant ability to enhance the quality and efficacy of telemedicine solutions. This work showcases substantial enhancements compared to existing triage approaches, while also providing a scalable approach to tackle hospital congestion and optimize resource allocation in real-time. The results of our study emphasize the capacity of RTOF to mitigate hospital overcrowding, expedite medical intervention, and enable the creation of adaptable telemedicine networks. This study highlights potential avenues for further investigation into the integration of the Internet of Medical Things (IoMT) with machine learning to develop cutting-edge medical technologies."
2024,Medicina Clinica Practica,10.1016/j.mcpsp.2024.100470,"Al-Raeei, M.",Artificial intelligence in action: Improving breast disease management through surgical robotics and remote monitoring,English Spanish,"Objectives: This article aims to discuss the transformative impact of artificial intelligence (AI) on the identification and management of breast diseases, with a specific focus on breast cancer. Materials and methods: Healthcare providers have integrated AI technologies such as surgical robots and remote monitoring systems to improve the accuracy and efficiency of breast disease diagnosis and treatment. Results: Surgical robots equipped with AI algorithms provide real-time guidance to surgeons, analyze imaging data, and ensure precise procedures for better outcomes in breast cancer surgeries. AI-driven remote monitoring systems allow for close monitoring of patient health data, disease progression prediction, and personalized treatment recommendations. Conclusions: The incorporation of AI technology into healthcare practices for breast diseases has revolutionized patient care delivery, enhancing outcomes, promoting patient engagement, and improving overall quality of care. These advancements offer personalized and tailored healthcare strategies that meet the unique needs of each patient, reshaping the healthcare industry."
2024,Gait and Posture,10.1016/j.gaitpost.2024.09.001,"Surmacz, K.; Redfern, R.E.; Van Andel, D.C.; Kamath, A.F.","Machine learning model identifies patient gait speed throughout the episode of care, generating notifications for clinician evaluation",English,"Introduction: The advent of digital and mobile health innovations, especially use of wearables for passive data collection, allows remote monitoring and creates an abundance of data. For this information to be interpretable, machine learning (ML) processes are necessary. Research question: Can a machine learning model successfully identify patients expected to have low gait speed in the early recovery period following joint replacement surgery? Methods: A commercial database from a smartphone-based care management platform passively collecting mobility data pre- and post-lower limb arthroplasty was used. We sought to create a ML model to predict gait speed recovery curves and identify patients at risk of poor gait speed outcome, a measure associated with range of motion and patient-reported outcomes. Model performance including sensitivity, specificity, precision, and accuracy were determined. Receiver operator curve (ROC) analysis was used to compare true and false positive rates. To benchmark our model, we compared threshold-based notifications based on the patient's current gait speed. Results: The performance of the predictive model was significantly improved compared to baseline of threshold-based exceptions using current gait speed. The ML model currently provides 53 % precision, 88 % accuracy, 36 % sensitivity, and 95 % specificity on the held-out test set. The ROC analysis suggests good clinical performance (AUC=0.81). Significance: Utilization of ML to predict gait recovery following total joint replacement is feasible and provides results with excellent specificity. This model will allow inclusion of additional data for retraining as patient populations evolve. Clinician feedback regarding notifications, including resulting actions and outcomes, can be used to further inform the model and improve clinical utility."
2024,Biosensors and Bioelectronics,10.1016/j.bios.2024.116407,"Sayyad, P.W.; Park, S.-J.; Ha, T.-J.",Recent advances in biosensors based on metal-oxide semiconductors system-integrated into bioelectronics,English,"Metal-oxide semiconductors (MOSs) have emerged as pivotal components in technology related to biosensors and bioelectronics. Detecting biomarkers in sweat provides a glimpse into an individual's metabolism without the need for sample preparation or collection steps. The distinctive attributes of this biosensing technology position it as an appealing option for biomedical applications beyond the scope of diagnosis and healthcare monitoring. This review encapsulates ongoing developments of cutting-edge biosensors based on MOSs. Recent advances in MOS-based biosensors for human sweat analyses are reviewed. Also discussed is the progress in sweat-based biosensing technologies to detect and monitor diseases. Next, system integration of biosensors is demonstrated ultimately to ensure the accurate and reliable detection and analysis of target biomarkers beyond individual devices. Finally, the challenges and opportunities related to advanced biosensors and bioelectronics for biomedical applications are discussed."
2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.133802,"Wang, Z.; Xu, L.; Liu, W.; Chen, Y.; Yang, Q.; Tang, Z.; Tan, H.; Li, N.; Du, J.; Yu, M.; Xu, J.","Tough, self-healing, adhesive double network conductive hydrogel based on gelatin-polyacrylamide covalently bridged by oxidized sodium alginate for durable wearable sensors",English,"Pursuing high-performance conductive hydrogels is still hot topic in development of advanced flexible wearable devices. Herein, a tough, self-healing, adhesive double network (DN) conductive hydrogel (named as OSA-(Gelatin/PAM)-Ca, O-(G/P)-Ca) was prepared by bridging gelatin and polyacrylamide network with functionalized polysaccharide (oxidized sodium alginate, OSA) through Schiff base reaction. Thanks to the presence of multiple interactions (Schiff base bond, hydrogen bond, and metal coordination) within the network, the prepared hydrogel showed outstanding mechanical properties (tensile strain of 2800 % and stress of 630 kPa), high conductivity (0.72 S/m), repeatable adhesion performance and excellent self-healing ability (83.6 %/79.0 % of the original tensile strain/stress after self-healing). Moreover, the hydrogel-based sensor exhibited high strain sensitivity (GF = 3.66) and fast response time (<0.5 s), which can be used to monitor a wide range of human physiological signals. Based on this, excellent compression sensitivity (GF = 0.41 kPa−1 in the range of 90–120 kPa), a three-dimensional (3D) array of flexible sensor was designed to monitor the intensity of pressure and spatial force distribution. In addition, a gel-based wearable sensor was accurately classified and recognized ten types of gestures, achieving an accuracy rate of >96.33 % both before and after self-healing under three machine learning models (the decision tree, SVM, and KNN). This paper provides a simple method to prepare tough and self-healing conductive hydrogel as flexible multifunctional sensor devices for versatile applications in fields such as healthcare monitoring, human-computer interaction, and artificial intelligence."
2024,Seminars in Vascular Surgery,10.1053/j.semvascsurg.2024.08.004,"Bartos, O.; Trenner, M.",Wearable technology in vascular surgery: Current applications and future perspectives,English,"The COVID-19 pandemic exposed the vulnerabilities of global health care systems, underscoring the need for innovative solutions to meet the demands of an aging population, workforce shortages, and rising physician burnout. In recent years, wearable technology has helped segue various medical specialties into the digital era, yet its adoption in vascular surgery remains limited. This article explores the applications of wearable devices in vascular surgery and explores their potential outlets, such as enhancing primary and secondary prevention, optimizing perioperative care, and supporting surgical training. The integration of artificial intelligence and machine learning with wearable technology further expands its applications, enabling predictive analytics, personalized care, and remote monitoring. Despite the promising prospects, challenges such as regulatory complexities, data security, and interoperability must be addressed. As the digital health movement unfolds, wearable technology could play a pivotal role in reshaping vascular surgery while offering cost-effective, accessible, and patient-centered care."
2024,Scientific reports,10.1038/s41598-024-70073-7,"Li, Y.-H.; Li, Y.-L.; Wei, M.-Y.; Li, G.-Y.",Innovation and challenges of artificial intelligence technology in personalized healthcare,English,"As the burgeoning field of Artificial Intelligence (AI) continues to permeate the fabric of healthcare, particularly in the realms of patient surveillance and telemedicine, a transformative era beckons. This manuscript endeavors to unravel the intricacies of recent AI advancements and their profound implications for reconceptualizing the delivery of medical care. Through the introduction of innovative instruments such as virtual assistant chatbots, wearable monitoring devices, predictive analytic models, personalized treatment regimens, and automated appointment systems, AI is not only amplifying the quality of care but also empowering patients and fostering a more interactive dynamic between the patient and the healthcare provider. Yet, this progressive infiltration of AI into the healthcare sphere grapples with a plethora of challenges hitherto unseen. The exigent issues of data security and privacy, the specter of algorithmic bias, the requisite adaptability of regulatory frameworks, and the matter of patient acceptance and trust in AI solutions demand immediate and thoughtful resolution .The importance of establishing stringent and far-reaching policies, ensuring technological impartiality, and cultivating patient confidence is paramount to ensure that AI-driven enhancements in healthcare service provision remain both ethically sound and efficient. In conclusion, we advocate for an expansion of research efforts aimed at navigating the ethical complexities inherent to a technology-evolving landscape, catalyzing policy innovation, and devising AI applications that are not only clinically effective but also earn the trust of the patient populace. By melding expertise across disciplines, we stand at the threshold of an era wherein AI's role in healthcare is both ethically unimpeachable and conducive to elevating the global health quotient."
2024,Disability and rehabilitation. Assistive technology,10.1080/17483107.2024.2387101,"Fatehi, V.; Salahzadeh, Z.; Mohammadzadeh, Z.",Mapping and analyzing the application of digital health for stroke rehabilitation: scientometric analysis,English,"INTRODUCTION: A modern and accessible healthcare system requires digital innovation and connectivity. The term ""Digital health"" covers vide range technologies, such as mobile health and applications, electronic records, telehealth and telemedicine, wearable devices, robotics, virtual reality and artificial intelligence. METHODS: Scientometrics is the method that we have done in this study by Cite Space and VOSviewer software, and the result of searching the Web of Science database in plain text format to perform analysis and scientometrics and create outputs in the form of graphs and tables in the field of digital health has been used in stroke rehabilitation. RESULT: A total of 2933 documents related to digital health technologies in stroke rehabilitation were identified by searching for the terms ""stroke rehabilitation"" or ""stroke recovery"" in the title and ""digital health"" across all fields. The strongest citations related to cerebrovascular disease spanned from 1994 to 2007, with randomised clinical trials occurring almost simultaneously and ended by 2012. Consequently, stroke rehabilitation by virtual reality technology has obtained the most citations and clinical trials and as an important part of digital health in the future research process. CONCLUSION: This scientometric study offers insights into how digital health technology can assist stroke patients in self-managing their health and well-being, in addition to supporting integrated stroke rehabilitation. The analysis revealed that three themes were present: author contributors and collaboration networks, temporal evolution, the strongest citation explosions for digital health technologies in stroke rehabilitation research, and semantic analysis."
