year,venue,doi,authors,title,publication_language,abstract
2024,Seminars in Vascular Surgery,10.1053/j.semvascsurg.2024.08.004,"Bartos, O.; Trenner, M.",Wearable technology in vascular surgery: Current applications and future perspectives,English,"The COVID-19 pandemic exposed the vulnerabilities of global health care systems, underscoring the need for innovative solutions to meet the demands of an aging population, workforce shortages, and rising physician burnout. In recent years, wearable technology has helped segue various medical specialties into the digital era, yet its adoption in vascular surgery remains limited. This article explores the applications of wearable devices in vascular surgery and explores their potential outlets, such as enhancing primary and secondary prevention, optimizing perioperative care, and supporting surgical training. The integration of artificial intelligence and machine learning with wearable technology further expands its applications, enabling predictive analytics, personalized care, and remote monitoring. Despite the promising prospects, challenges such as regulatory complexities, data security, and interoperability must be addressed. As the digital health movement unfolds, wearable technology could play a pivotal role in reshaping vascular surgery while offering cost-effective, accessible, and patient-centered care."
2024,Scientific reports,10.1038/s41598-024-70073-7,"Li, Y.-H.; Li, Y.-L.; Wei, M.-Y.; Li, G.-Y.",Innovation and challenges of artificial intelligence technology in personalized healthcare,English,"As the burgeoning field of Artificial Intelligence (AI) continues to permeate the fabric of healthcare, particularly in the realms of patient surveillance and telemedicine, a transformative era beckons. This manuscript endeavors to unravel the intricacies of recent AI advancements and their profound implications for reconceptualizing the delivery of medical care. Through the introduction of innovative instruments such as virtual assistant chatbots, wearable monitoring devices, predictive analytic models, personalized treatment regimens, and automated appointment systems, AI is not only amplifying the quality of care but also empowering patients and fostering a more interactive dynamic between the patient and the healthcare provider. Yet, this progressive infiltration of AI into the healthcare sphere grapples with a plethora of challenges hitherto unseen. The exigent issues of data security and privacy, the specter of algorithmic bias, the requisite adaptability of regulatory frameworks, and the matter of patient acceptance and trust in AI solutions demand immediate and thoughtful resolution .The importance of establishing stringent and far-reaching policies, ensuring technological impartiality, and cultivating patient confidence is paramount to ensure that AI-driven enhancements in healthcare service provision remain both ethically sound and efficient. In conclusion, we advocate for an expansion of research efforts aimed at navigating the ethical complexities inherent to a technology-evolving landscape, catalyzing policy innovation, and devising AI applications that are not only clinically effective but also earn the trust of the patient populace. By melding expertise across disciplines, we stand at the threshold of an era wherein AI's role in healthcare is both ethically unimpeachable and conducive to elevating the global health quotient."
2024,Biomedical Signal Processing and Control,10.1016/j.bspc.2024.106213,"Ramani, R.; Rosline Mary, A.; Edwin Raja, S.; Arun Shunmugam, D.",Optimized data management and secured federated learning in the Internet of Medical Things (IoMT) with blockchain technology,English,"The increasing need for improved medical and healthcare monitoring systems is paramount in the current healthcare environment. This need is propelled by the continuously growing quantity of patient data, the imperative for instantaneous information, and the crucial significance of data security. The Internet of Medical Things (IoMT) has been recognized as an essential technology for addressing healthcare requirements via the seamless integration of medical devices, sensors, and healthcare systems. Nevertheless, the effective administration and safeguarding of the extensive and delicate data produced by the IoMT present significant obstacles. The current methodologies often need to be revised to deliver holistic resolutions to these difficulties. To tackle these concerns comprehensively, the research proposed Optimized Data Management and Secured Federated Learning (ODMSM-FL), incorporating blockchain provenance. ODMSM-FL has been specifically developed to address the unique requirements of the IoMT via several capabilities, including decentralized data administration, federated learning, and solid security mechanisms based on blockchain technology. The system enhances data management capabilities, facilitating the adequate storage, retrieval, and exchange of medical data while safeguarding data privacy and maintaining data integrity. This study reports a set of numerical findings about essential performance metrics: transaction throughput (102.75 Kbps), block processing time (42.28 ms), data retrieval latency (64.02 ms), convergence rate (77.53 %), security (88.97 %), and accuracy (86.32 %). The findings prove that ODMSM-FL surpasses current methodologies, showcasing its exceptional capacity to improve data management, security, and overall performance within IoMT applications. The findings underscore the considerable potential of ODMSM-FL in effectively tackling the urgent data management and security issues in the IoMT, eventually making valuable contributions to the progress of healthcare systems and the enhanced welfare of patients."
2024,Current Anesthesiology Reports,10.1007/s40140-024-00627-y,"Ardon, A.; Chadha, R.; George, J.","Post-discharge Care and Monitoring: What’s new, What’s Controversial",English,"Purpose of Review: To summarize recent evidence that discusses the potential benefits and challenges of using new technology and virtual care models for post-operative patient monitoring after ambulatory surgery. Recent Findings: • Artificial intelligence (AI) systems can be integrated into practice to play an important role in perioperative risk mitigation. • Remote monitoring and wearable technology can work synergistically to improve clinical outcomes after surgery. • Novel care models may result in a high level of care and patient satisfaction compared to inpatient stays. Summary: AI can be a useful tool to identify patients at increased surgical risk. The integration of AI with remote monitors and wearables holds promise for improving patient outcomes. Concerns associated with data privacy and security, along with clinician reluctance, are challenges to overcome. New models such as virtual care at home and care hotels are options that may provide ways to improve clinical monitoring after discharge."
2024,Frontiers in Biomedical Technologies,10.18502/fbt.v11i3.15881,"Palumbo, A.; Calabrese, B.; Ielpo, N.; Garropoli, R.; Vizza, P.; Demeco, A.; Gramigna, V.","A High-Performance, Secure Custom Electronics Circuit for Biopotential Measurement and Processing",English,"Purpose: In this paper, we propose a secure wearable and portable device aiming to (i) monitor physical activity in medical and clinical rehabilitation, (ii) evaluate the subject's movements in sports environments, and (iii) monitor wellness indicators. Materials and Methods: The innovative low-power custom circuit can acquire, pre-process, digitalize, and transmit EMG signals to a Raspberry PI4 device via a low-energy Bluetooth module. The Raspberry PI4 is a hub that sends data to a cloud-based system for remote monitoring and processing. The best cybersecurity practices have been implemented: firewall, anti-DDoS and SELinux. Results: We have assessed the system's vulnerability before and after the system's hardening. SELinux makes the system safer and prevents unauthorized access to patients' data health by tampering with the devices. Conclusion: Adopting IoT systems in telemedicine requires greater attention to cybersecurity. It is necessary to implement security mechanisms to guarantee the privacy of patient's health data."
2024,BMC medical imaging,10.1186/s12880-024-01279-4,"Ahmed, S.T.; Mahesh, T.R.; Srividhya, E.; Vinoth Kumar, V.; Khan, S.B.; Albuali, A.; Almusharraf, A.",Towards blockchain based federated learning in categorizing healthcare monitoring devices on artificial intelligence of medical things investigative framework,English,"Categorizing Artificial Intelligence of Medical Things (AIoMT) devices within the realm of standard Internet of Things (IoT) and Internet of Medical Things (IoMT) devices, particularly at the server and computational layers, poses a formidable challenge. In this paper, we present a novel methodology for categorizing AIoMT devices through the application of decentralized processing, referred to as ""Federated Learning"" (FL). Our approach involves deploying a system on standard IoT devices and labeled IoMT devices for training purposes and attribute extraction. Through this process, we extract and map the interconnected attributes from a global federated cum aggression server. The aim of this terminology is to extract interdependent devices via federated learning, ensuring data privacy and adherence to operational policies. Consequently, a global training dataset repository is coordinated to establish a centralized indexing and synchronization knowledge repository. The categorization process employs generic labels for devices transmitting medical data through regular communication channels. We evaluate our proposed methodology across a variety of IoT, IoMT, and AIoMT devices, demonstrating effective classification and labeling. Our technique yields a reliable categorization index for facilitating efficient access and optimization of medical devices within global servers."
2024,"Sensors (Basel, Switzerland)",10.3390/s24092804,"Bughio, K.S.; Cook, D.M.; Shah, S.A.A.",Developing a Novel Ontology for Cybersecurity in Internet of Medical Things-Enabled Remote Patient Monitoring,English,"IoT has seen remarkable growth, particularly in healthcare, leading to the rise of IoMT. IoMT integrates medical devices for real-time data analysis and transmission but faces challenges in data security and interoperability. This research identifies a significant gap in the existing literature regarding a comprehensive ontology for vulnerabilities in medical IoT devices. This paper proposes a fundamental domain ontology named MIoT (Medical Internet of Things) ontology, focusing on cybersecurity in IoMT (Internet of Medical Things), particularly in remote patient monitoring settings. This research will refer to similar-looking acronyms, IoMT and MIoT ontology. It is important to distinguish between the two. IoMT is a collection of various medical devices and their applications within the research domain. On the other hand, MIoT ontology refers to the proposed ontology that defines various concepts, roles, and individuals. MIoT ontology utilizes the knowledge engineering methodology outlined in Ontology Development 101, along with the structured life cycle, and establishes semantic interoperability among medical devices to secure IoMT assets from vulnerabilities and cyberattacks. By defining key concepts and relationships, it becomes easier to understand and analyze the complex network of information within the IoMT. The MIoT ontology captures essential key terms and security-related entities for future extensions. A conceptual model is derived from the MIoT ontology and validated through a case study. Furthermore, this paper outlines a roadmap for future research, highlighting potential impacts on security automation in healthcare applications."
2024,International Journal of Medical Informatics,10.1016/j.ijmedinf.2024.105376,"Alsulami, S.; Konstantinidis, S.T.; Wharrad, H.",Use of wearables among Multiple Sclerosis patients and healthcare Professionals: A scoping review,English,"Introduction: Multiple sclerosis (MS) is an increasingly prevalent chronic, autoimmune, and inflammatory central nervous system illness, whose common symptoms undermine the quality of life of patients and their families. Recent technical breakthroughs potentially offer continuous, reliable, sensitive, and objective remote monitoring solutions for healthcare. Wearables can be useful for evaluating falls, fatigue, sedentary behavior, exercise, and sleep quality in people with MS (PwMS). Objective: This scoping review of relevant literature explores studies investigating the perceptions of patients and healthcare professionals (HCPs) about the use of wearable technologies in the management of MS. Methods: The Joanna Briggs Institute methodology for scoping reviews was used. The search strategy was applied to the databases, MEDLINE via Ovid, Embase, APA PsycInfo, and CINAHL. Further searches were performed in IEEE, Scopus, and Web of Science. The review considered studies reporting quantitative or qualitative data on perceptions and experiences of PwMS and HCPs concerning wearables’ usability, satisfaction, barriers, and facilitators. Results: 10 studies were included in this review. Wearables’ usefulness and accessibility, ease of use, awareness, and motivational tool potential were patient-perceived facilitators of use. Barriers related to anxiety and frustration, complexity, and the design of wearables. Perceived usefulness and system requirements are identified as facilitators of using wearables by HCPs, while data security concerns and fears of increased workload and limited effectiveness in the care plan are identified as barriers to use wearables. Conclusions: This review contributes to our understanding of the benefits of wearable technologies in MS by exploring perceptions of both PwMS and HCPs. The scoping review provided a broad overview of facilitators and barriers to wearable use in MS. There is a need for further studies underlined with sound theoretical frameworks to provide a robust evidence-base for the optimal use of wearables to empower healthcare users and providers."
2024,Geriatrics and Gerontology International,10.1111/ggi.14705,"Wu, X.; Freeman, S.; Miyagi, M.; Park, U.; Nomura, K.; Ebihara, S.",Comprehensive Geriatric Assessment in the era of telemedicine,English,"The aging global population poses significant medical and social challenges, necessitating efforts to promote healthy aging. Comprehensive Geriatric Assessment (CGA) is a multidimensional diagnostic approach for older adults that aims to improve overall health. Remote CGA, facilitated by technological advancements, offers convenience and other potential advantages. It enables early disease detection, monitors chronic disease progression, delivers personalized care, and optimizes healthcare resources for better health outcomes in older individuals. However, remote CGA also has limitations, including technological requirements, data security, and the need for comprehensive evaluation and simplicity. Collaborative efforts are essential to developing a digital home-based CGA platform that addresses accessibility issues and tailors the assessment process to meet the needs of older adults. Continuous optimization of remote CGA can become a pivotal tool for advancing geriatric care and ensuring the well-being of the aging population. Geriatr Gerontol Int 2024; 24: 67–73."
2024,Mathematical biosciences and engineering : MBE,10.3934/mbe.2024153,"Ouni, R.; Saleem, K.",Secure smart home architecture for ambient-assisted living using a multimedia Internet of Things based system in smart cities,English,"Recent advances in smartphones and remote monitoring based on the Internet of Things (IoT) have enabled improved multidimensional intelligent services. The advent of IoT-based wearable and multimedia sensors has prevented millions of mishapsthrough seamless and systematic monitoring. An IoT-based monitoring system is composed of several sensor devices to measure vital signs, fall detection, energy consumption, and visual recognition. As the data collected by the sensors are transmitted to cloud storage through the Internet, data security is a major concern when transmitting data from remote locations. To improve data security and prediction accuracy, in this study, we proposed a smart and secure multimedia IoT monitoring system for smart homes backed up by smart grid supervisory control and data acquisition (SCADA). The proposed system employs state-of-the-art IoT microcontrollers and hardware devices and integrates them in a manner that significantly affects the accuracy and speed of the entire system. Furthermore, the information gathered from IoT is securely transferred through private channels and stored on the cloud, which can be accessed authentically and reliably using an information system built into an IoT application. The output was extensively compared in terms of power consumption and delivery ratio, which were based on the values collected with sequence numbers. The comparative analysis demonstrated that the proposed approach provides increased prediction accuracy and better security. Hence, the proposed powerefficient prototype model monitors the entire smart home environment in real time and serves as an early warning system for critical situations."
