year,venue,doi,authors,title,publication_language,abstract
2024,Seminars in Vascular Surgery,10.1053/j.semvascsurg.2024.08.004,"Bartos, O.; Trenner, M.",Wearable technology in vascular surgery: Current applications and future perspectives,English,"The COVID-19 pandemic exposed the vulnerabilities of global health care systems, underscoring the need for innovative solutions to meet the demands of an aging population, workforce shortages, and rising physician burnout. In recent years, wearable technology has helped segue various medical specialties into the digital era, yet its adoption in vascular surgery remains limited. This article explores the applications of wearable devices in vascular surgery and explores their potential outlets, such as enhancing primary and secondary prevention, optimizing perioperative care, and supporting surgical training. The integration of artificial intelligence and machine learning with wearable technology further expands its applications, enabling predictive analytics, personalized care, and remote monitoring. Despite the promising prospects, challenges such as regulatory complexities, data security, and interoperability must be addressed. As the digital health movement unfolds, wearable technology could play a pivotal role in reshaping vascular surgery while offering cost-effective, accessible, and patient-centered care."
2024,"Sensors (Basel, Switzerland)",10.3390/s24144614,"Ranjan, Y.; Chang, J.; Sankesara, H.; Conde, P.; Rashid, Z.; Dobson, R.J.B.; Folarin, A.","RADAR-IoT: An Open-Source, Interoperable, and Extensible IoT Gateway Framework for Health Research",English,"IoT sensors offer a wide range of sensing capabilities, many of which have potential health applications. Existing solutions for IoT in healthcare have notable limitations, such as closed-source, limited I/O protocols, limited cloud platform support, and missing specific functionality for health use cases. Developing an open-source internet of things (IoT) gateway solution that addresses these limitations and provides reliability, broad applicability, and utility is highly desirable. Combining a wide range of sensor data streams from IoT devices with ambulatory mHealth data would open up the potential to provide a detailed 360-degree view of the relationship between patient physiology, behavior, and environment. We have developed RADAR-IoT as an open-source IoT gateway framework, to harness this potential. It aims to connect multiple IoT devices at the edge, perform limited on-device data processing and analysis, and integrate with cloud-based mobile health platforms, such as RADAR-base, enabling real-time data processing. We also present a proof-of-concept data collection from this framework, using prototype hardware in two locations. The RADAR-IoT framework, combined with the RADAR-base mHealth platform, provides a comprehensive view of a user's health and environment by integrating static IoT sensors and wearable devices. Despite its current limitations, it offers a promising open-source solution for health research, with potential applications in managing infection control, monitoring chronic pulmonary disorders, and assisting patients with impaired motor control or cognitive ability."
2024,"Sensors (Basel, Switzerland)",10.3390/s24092804,"Bughio, K.S.; Cook, D.M.; Shah, S.A.A.",Developing a Novel Ontology for Cybersecurity in Internet of Medical Things-Enabled Remote Patient Monitoring,English,"IoT has seen remarkable growth, particularly in healthcare, leading to the rise of IoMT. IoMT integrates medical devices for real-time data analysis and transmission but faces challenges in data security and interoperability. This research identifies a significant gap in the existing literature regarding a comprehensive ontology for vulnerabilities in medical IoT devices. This paper proposes a fundamental domain ontology named MIoT (Medical Internet of Things) ontology, focusing on cybersecurity in IoMT (Internet of Medical Things), particularly in remote patient monitoring settings. This research will refer to similar-looking acronyms, IoMT and MIoT ontology. It is important to distinguish between the two. IoMT is a collection of various medical devices and their applications within the research domain. On the other hand, MIoT ontology refers to the proposed ontology that defines various concepts, roles, and individuals. MIoT ontology utilizes the knowledge engineering methodology outlined in Ontology Development 101, along with the structured life cycle, and establishes semantic interoperability among medical devices to secure IoMT assets from vulnerabilities and cyberattacks. By defining key concepts and relationships, it becomes easier to understand and analyze the complex network of information within the IoMT. The MIoT ontology captures essential key terms and security-related entities for future extensions. A conceptual model is derived from the MIoT ontology and validated through a case study. Furthermore, this paper outlines a roadmap for future research, highlighting potential impacts on security automation in healthcare applications."
2024,Studies in health technology and informatics,10.3233/SHTI231128,"Bamgboje-Ayodele, A.; Boscolo, A.; Hutchings, O.; Shaw, M.; Burger, M.; Taggart, R.; Simpson, M.; Shaw, T.; McPhail, S.; Baysari, M.T.",Fighting the Same Battles on a New Battleground: Embedding Technologies in a Virtual Care Environment,English,"The pandemic necessitated the rapid design, development and implementation of technologies to allow remote monitoring of COVID-19 patients at home. This study aimed to explore the environmental barriers and facilitators to the successful development and implementation of virtual care technologies in this fast-paced context. We interviewed eight staff at a virtual hospital in Australia. We found key facilitators to be a learning organizational culture and strong leadership support. Barriers included interoperability issues, legislative constraints and unrealistic clinician expectations. Also, we found that a combination of hot-desking and the lack of single sign on in the virtual care environment, was reported to create additional work for staff. Overall, despite this unique context, our findings are consistent with prior work examining design and implementation of healthcare technologies. The fast pace and high-pressure environment appeared to magnify previously reported barriers, but also cultivate and foster a learning culture."
2024,Frontiers in Digital Health,10.3389/fdgth.2024.1259409,"Rayan, A.; Al-Ghabeesh, S.H.; Fawaz, M.; Behar, A.; Toumi, A.","Experiences, barriers and expectations regarding current patient monitoring systems among ICU nurses in a University Hospital in Lebanon: a qualitative study",English,"Purpose: The aim of the study is to assess the experiences, barriers, and expectations regarding current patient monitoring systems among intensive care unit nurses at one university hospital. Methods: A qualitative exploratory study approach was adopted to test the research questions. Results: Intensive care unit personnel placed a high value on practical criteria such as user friendliness and visualization while assessing the present monitoring system. Poor alarm handling was recognized as possible patient safety hazards. The necessity of high accessibility was highlighted once again for a prospective system; wireless, noninvasive, and interoperability of monitoring devices were requested; and smart phones for distant patient monitoring and alert management improvement were required. Conclusion: Core comments from ICU personnel are included in this qualitative research on patient monitoring. All national healthcare involved parties must focus more on user-derived insights to ensure a speedy and effective introduction of digital health technologies in the ICU. The findings from the alarm control or mobile device studies might be utilized to train ICU personnel to use new technology, minimize alarm fatigue, increase medical device accessibility, and develop interoperability standards in critical care practice."
2024,Perspectives in Clinical Research,10.4103/picr.picr_219_22,"Chodankar, D.; Raval, T.K.; Jeyaraj, J.","The role of remote data capture, wearables, and digital biomarkers in decentralized clinical trials",English,"Decentralized clinical trials (DCTs) are gaining momentum in clinical research as these studies can be executed remotely through telemedicine and mobile/local health-care providers. The COVID-19 pandemic has further accelerated advances and adoption in this area. In the past few years, there has been significant development and growth in the use of remote data that are electronically transmitted from a clinical trial (CT) participant, from outside the clinical setting, to a data repository. Such data may include laboratory data, safety data, or outcome measures reported by the participant, the clinician or the observer. Similarly, wearable health monitoring devices are being increasingly used in health-care and CT settings. Digital biomarkers, which can support continuous measurement of physiologic parameters outside the physical confines of the clinical environment, are also creating new and improved opportunities for patient care and biomedical research, enabling remote monitoring and DCTs. There are several benefits to using remote data capture, wearables, and digital biomarkers in clinical health-care research; however, several questions and challenges still need to be addressed. In an effort to understand the adoption of these technologies in DCTs, and the challenges therein, the authors of this workstream conducted an online survey of clinical research stakeholders across India and reviewed 80 responses. The review article summarizes the key findings from this online survey."
2023,Value in Health,10.1016/j.jval.2023.09.1543,"Tokarska, J.; Foxon, G.; Zakrzewska, K.; Craddy, P.","Evaluation and Reimbursement of Digital Therapeutics in Germany, France, Belgium and England",English,"Objectives: This study compares and contrasts the evaluation and reimbursement pathways for digital therapeutics (DTx) in Germany, France, Belgium and England. Methods: Four frameworks for DTx assessment: the German DiGA fast track, the French PECAN fast track, the Belgium mHealth Pyramid, and the English Early Value Assessment (EVA) were reviewed to compare and contrast their objectives, methodology, and eligibility criteria. Results: DiGA and PECAN fast tracks aim to accelerate reimbursement for eligible DTx. Both processes offer a one-year transitional reimbursement period to collect patient data that can be used in determining product value and achieving permanent reimbursement. The mHealth Pyramid focuses on informative function and categorizes DHAs based on functionality, compliance, and health-economic value, offering funding potential only to those meeting higher-level criteria. The English Early Value Assessment evaluates the clinical and cost-effectiveness of DTx among other medical technologies to inform local funding decisions and support the generation of meaningful real-world data. Across frameworks, assessed DTx must be CE-marked and meet safety and interoperability criteria. Reimbursement eligibility varies: Germany includes class I and IIa DTx, while France evaluates class IIb, III, and telemonitoring devices under PECAN, with DiGA focusing on potential positive health effects and PECAN prioritizing clinical benefits or improved care organization. In the mHealth Pyramid framework, only apps that enable remote diagnosis, therapy, or monitoring by healthcare providers are eligible for funding. NICE DTx out of those have Digital Assessment Criteria (DTAC) approval for evaluation in the EVA process based on their potential to address prioritized national unmet needs. Conclusions: As a result of the distinct differences in the objectives and methodology employed to assess the value of DHAs across countries, companies need adopt a country-specific approach, resulting in increased costs and resources, in order to facilitate patient access across the EU."
2023,Studies in health technology and informatics,10.3233/SHTI230751,"Gazzarata, R.; Chronaki, C.; Ricciardi, F.; Giuliani, F.; Zampognaro, P.; Mercalli, F.; Allocca, C.; Gaeta, E.; Fico, G.; Cangioli, G.",Design and Adoption of a FHIR IG to Support a Telemonitoring Environment in Gatekeeper Project,English,"Telemedicine can provide benefits in patient affected by chronic diseases or elderly citizens as part of standard routine care supported by digital health. The GATEKEEPER (GK) Project was financed to create a vendor independent platform to be adopted in medical practice and to demonstrate its effect, benefit value, and scalability in 8 connected medical use cases with some independent pilots. This paper, after a description of the GK platform architecture, is focused on the creation of a FHIR (Fast Healthcare Interoperability Resource) IG (Implementation Guide) and its adoption in specific use cases. The final aim is to combine conventional data, collected in the hospital, with unconventional data, coming from wearable devices, to exploit artificial intelligence (AI) models designed to evaluate the effectiveness of a new parsimonious risk prediction model for Type 2 diabetes (T2D)."
2023,IEEE Journal of Biomedical and Health Informatics,10.1109/JBHI.2022.3168071,"Pathak, N.; Mukherjee, A.; Misra, S.",SemBox: Semantic Interoperability in a Box for Wearable e-Health Devices,English,"In this work, we propose SemBox - Semantic interoperability in a Box, to enable wireless on-the-go communication between heterogeneous wearable health monitoring devices. It can connect wirelessly to the health monitoring devices and receive their data packets. It uses a Mamdani-based fuzzy inference system with data pre-processing to classify the received data packet into one of the classes of the vital parameters. It enables semantic interoperability by labelling and annotating the data packets based on the extracted packet information. We implement SemBox using three different health monitoring wearables, with different keywords used for each vital parameter representation in the data packet. SemBox shows a maximum classification accuracy of 85.71%, with a maximum PDR of 1 at the SemBox with varying device parameters. Overall, SemBox is a potential plug-and-play solution to achieve semantic interoperability and collaboration between heterogeneous health monitoring wearable devices, irrespective of their commercial and proprietary specifications. It is customizable for applications that use multiple heterogeneous devices for collaborative monitoring and decision support. SemBox enables interoperability among health monitoring devices, introduces flexibility and ease the inter-device dynamics in the domain of biomedical research."
2023,Biomedical and Pharmacology Journal,10.13005/bpj/2707,"Nagasamy Venkatesh, D.; Muthupranesh, K.",A Review of the Impact of Cybersecurity in High-risk Medical Devices And In-vitro Medical Devices All Over The World,English,"In modern healthcare systems, medical devices are playing a major role which involves personalized medical devices which improve the patient's lifestyle as they can be remotely monitored and their data are transmissible. Due to these data transmissions, the number of connections to the existing computer networks is increased. Being interoperable and interconnected these personalized medical devices provide great benefits like improved sensing capabilities and actuating capabilities. But the problem with high connectivity computer networks is that it exposes medical device to high cybersecurity vulnerabilities. The main targets are the pacemakers and institutions like hospitals and clinics. Hackers can easily hack medical devices and change prescriptions. So a cybersecurity breach can leak a patient's sensitive and confidential data and risk the patient's life. To prevent these multifaceted problems from happening these problems must be viewed from a systematic perspective and requires governance, technical controls, regulation, and standards. Published by Oriental Scientific Publishing Company"
2022,Artificial Intelligence in Medicine,10.1016/j.artmed.2022.102431,"Motwani, A.; Shukla, P.K.; Pawar, M.",Ubiquitous and smart healthcare monitoring frameworks based on machine learning: A comprehensive review,English,"During the COVID-19 pandemic, the patient care delivery paradigm rapidly shifted to remote technological solutions. Rising rates of life expectancy of older people, and deaths due to chronic diseases (CDs) such as cancer, diabetes and respiratory disease pose many challenges to healthcare. While the feasibility of Remote Patient Monitoring (RPM) with a Smart Healthcare Monitoring (SHM) framework was somewhat questionable before the COVID-19 pandemic, it is now a proven commodity and is on its way to becoming ubiquitous. More health organizations are adopting RPM to enable CD management in the absence of individual monitoring. The current studies on SHM have reviewed the applications of IoT and/or Machine Learning (ML) in the domain, their architecture, security, privacy and other network related issues. However, no study has analyzed the AI and ubiquitous computing advances in SHM frameworks. The objective of this research is to identify and map key technical concepts in the SHM framework. In this context an interesting and meaningful classification of the research articles surveyed for this work is presented. The comprehensive and systematic review is based on the “Preferred Reporting Items for Systematic Review and Meta-Analysis” (PRISMA) approach. A total of 2540 papers were screened from leading research archives from 2016 to March 2021, and finally, 50 articles were selected for review. The major advantages, developments, distinctive architectural structure, components, technical challenges and possibilities in SHM are briefly discussed. A review of various recent cloud and fog computing based architectures, major ML implementation challenges, prospects and future trends is also presented. The survey primarily encourages the data driven predictive analytics aspects of healthcare and the development of ML models for health empowerment."
2022,Trends in Biotechnology,10.1016/j.tibtech.2021.04.011,"Altay, A.; Learney, R.; Güder, F.; Dincer, C.",Sensors in blockchain,English,"Blockchain, the technology behind bitcoin, has stimulated global conversation around digital decentralization to connect societies and economies. Connected low-cost sensors within Internet of Things (IoT) networks may soon perform measurements, exchange data, and make decisions automatically over decentralized networks; these systems could improve healthcare, the quality of goods, and supply chain efficiency."
2022,Journal of Public Health (Germany),10.1007/s10389-021-01655-2,"Müller, A.; Haneke, H.; Kirchberger, V.; Mastella, G.; Dommasch, M.; Merle, U.; Heinze, O.; Siegmann, A.; Spinner, C.; Buiatti, A.; Laugwitz, K.-L.; Schmidt, G.; Martens, E.",Integration of mobile sensors in a telemedicine hospital system: remote-monitoring in COVID-19 patients,English,"Aim: The goal is to design and, in a next step, establish a scalable, multi-center telemonitoring platform based on existing systems for monitoring COVID-19 patients in home quarantine. In particular, the focus will be on raw data acquisition, integration of sensor data into the hospital system, structured data storage, and interoperability. Subject and methods: Data necessary for monitoring, otherwise provided in various portals, will be continuously queried and integrated into the hospital system via a new interface in this proof-of-concept work. Results: Based on extensive preliminary work at Klinikum rechts der Isar with a structured clinical database, we extend our system’s integration of raw data and visualization in dashboards, as well as scientific provision of data from mobile sensors for monitoring patients in home quarantine. Conclusion: Based on existing integrated telemonitoring systems supporting semantic and syntactic interoperability, short-term provision of scientific databases is possible. The integration of different mobile sensors into a clinical system for remote monitoring of patients around the clock is still new and to our knowledge unique."
2022,Journal of Commercial Biotechnology,10.5912/jcb1330,"Hua, W.",Impact of IoT Adoption and Application For Smart Healthcare,English,"The Internet of Things (IoT) is a rapidly growing technology that is transforming the healthcare industry. IoT devices and applications are enabling the collection and analysis of patient data, facilitating remote monitoring and diagnosis, and improving the efficiency and effectiveness of healthcare delivery. This abstract explores the impact of IoT adoption and application for smart healthcare. The study highlights the various applications of IoT in healthcare, such as remote patient monitoring, real-time patient tracking, and medication management. The study reviews the benefits of IoT in healthcare, such as improved patient outcomes, reduced costs, and increased efficiency. The study also examines the challenges of implementing IoT in healthcare, such as data privacy and security concerns, interoperability issues, and regulatory compliance. The study concludes that IoT is transforming the healthcare industry, enabling a new era of smart healthcare delivery. The adoption of IoT in healthcare has the potential to improve patient outcomes, reduce costs, and increase the efficiency and effectiveness of healthcare delivery. However, the challenges of implementing IoT in healthcare cannot be ignored, and the industry must work to address these challenges while harnessing the benefits of this emerging technology. Overall, the potential impact of IoT adoption and application for smart healthcare is significant and holds great promise for the future of healthcare delivery."
2021,Maturitas,10.1016/j.maturitas.2021.06.009,"Vandendriessche, B.; Godfrey, A.; Izmailova, E.S.",Multimodal biometric monitoring technologies drive the development of clinical assessments in the home environment,English,"Biometric monitoring technologies (BioMeTs) have attracted the attention of the health care community because of their user-friendly form factor and multi-sensor data-collection capabilities. The potential benefits of remote monitoring for collecting comprehensive, longitudinal, and contextual datasets span therapeutic areas, and both chronic and acute disease settings. Importantly, multimodal BioMeTs unlock the ability to generate rich contextual data to augment digital measures. Currently, the availability of devices is no longer the main factor limiting adoption but rather the ability to integrate fit-for-purpose BioMeTs reliably and safely into clinical care. We provide a critical review of the state of art for multimodal BioMeTs in clinical care and identify three unmet clinical needs: 1) expand the abilities of existing ambulatory unimodal BioMeTs; 2) adapt standardized clinical test protocols (""spot checks'') for use under free living conditions; and 3) develop novel applications to manage rehabilitation and chronic diseases. As the field is still in an early and quickly evolving state, we make practical recommendations: 1) to select appropriate BioMeTs; 2) to develop composite digital measures; and 3) to design interoperable software to ingest, process, delegate, and visualize the data when deploying novel clinical applications. Multimodal BioMeTs will drive the evolution from in-clinic assessments to at-home data collection with a focus on prevention, personalization, and long-term outcomes by empowering health care providers with knowledge, delivering convenience, and an improved standard of care to patients."
2021,Atemwegs- und Lungenkrankheiten,10.5414/ATX02558,"Beckers, R.; Strotbaum, V.",Diverse but uniform – Open and standardized platforms for e-devices (smart device/apps) in pneumology,German,"Telepneumology describes the use of telemedical applications in the field of pneumological diseases. As chronic diseases, pneumological diseases are suitable to be integrated in telemedical healthcare scenarios. Digital applications have various benefits. Telemonitoring is one of them. It monitors and analyses relevant vital parameters. Despite many legislative initiatives, the long-term implementation of telemonitoring still faces challenges. The adjustment of the remuneration system, the acceptance of more pragmatic evaluation designs, and the promotion of interoperability are important for the development of module-based, scalable platforms. Telemedical platforms enable sustainable integration of medical devices and the inclusion of relevant stakeholders in care processes."
2021,Healthcare Technology Letters,10.1049/htl2.12010,"Ramesh, J.; Aburukba, R.; Sagahyroon, A.",A remote healthcare monitoring framework for diabetes prediction using machine learning,English,"Diabetes is a metabolic disease that affects millions of people each year. It is associated with an increased likelihood of vital organ failures and decreased quality of life. Early detection and regular monitoring are crucial for managing diabetes. Remote patient monitoring can facilitate effective intervention and treatment paradigms using current technology. This work proposes an end-to-end remote monitoring framework for automated diabetes risk prediction and management, using personal health devices, smart wearables and smartphones. A support vector machine was developed for diabetes risk prediction using the Pima Indian Diabetes Database, after feature scaling, imputation, selection and augmentation. This work achieved the performance metrics of accuracy, sensitivity and specificity scores at 83.20%, 87.20% and 79% respectively through the tenfold stratified cross validation method, which is competitive with existing methods. Patients can use multiple healthcare devices, smartphones and smartwatches to measure vital parameters, curb the progression of diabetes and close the communication loop with medical professionals. The proposed framework enables medical professionals to make informed decisions based on the latest diabetes risk predictions and lifestyle insights while attaining unobtrusiveness, reduced cost, and vendor interoperability."
2020,Journal of Medical Internet Research,10.2196/20135,"Kelly, J.T.; Campbell, K.L.; Gong, E.; Scuffham, P.",The Internet of Things: Impact and Implications for Health Care Delivery,English,"The Internet of Things (IoT) is a system of wireless, interrelated, and connected digital devices that can collect, send, and store data over a network without requiring human-to-human or human-to-computer interaction. The IoT promises many benefits to streamlining and enhancing health care delivery to proactively predict health issues and diagnose, treat, and monitor patients both in and out of the hospital. Worldwide, government leaders and decision makers are implementing policies to deliver health care services using technology and more so in response to the novel COVID-19 pandemic. It is now becoming increasingly important to understand how established and emerging IoT technologies can support health systems to deliver safe and effective care. The aim of this viewpoint paper is to provide an overview of the current IoT technology in health care, outline how IoT devices are improving health service delivery, and outline how IoT technology can affect and disrupt global health care in the next decade. The potential of IoT-based health care is expanded upon to theorize how IoT can improve the accessibility of preventative public health services and transition our current secondary and tertiary health care to be a more proactive, continuous, and coordinated system. Finally, this paper will deal with the potential issues that IoT-based health care generates, barriers to market adoption from health care professionals and patients alike, confidence and acceptability, privacy and security, interoperability, standardization and remuneration, data storage, and control and ownership. Corresponding enablers of IoT in current health care will rely on policy support, cybersecurity-focused guidelines, careful strategic planning, and transparent policies within health care organizations. IoT-based health care has great potential to improve the efficiency of the health system and improve population health."
