year,venue,doi,authors,title,publication_language,abstract
2024,Microbial Cell Factories,10.1186/s12934-024-02480-4,"Jo, M.-H.; Ju, J.-H.; Heo, S.-Y.; Son, C.-B.; Jeong, K.J.; Oh, B.-R.","High production of enantiopure (R,R)-2,3-butanediol from crude glycerol by Klebsiella pneumoniae with an engineered oxidative pathway and a two-stage agitation strategy",English,"Background: (R,R)-2,3-butanediol (BDO) is employed in a variety of applications and is gaining prominence due to its unique physicochemical features. The use of glycerol as a carbon source for 2,3-BDO production in Klebsiella pneumoniae has been limited, since 1,3-propanediol (PDO) is generated during glycerol fermentation. Results: In this study, the inactivation of the budC gene in K. pneumoniae increased the production rate of (R,R)-2,3-BDO from 21.92 ± 2.10 to 92.05 ± 1.20%. The major isomer form of K. pneumoniae (meso-2,3-BDO) was shifted to (R,R)-2,3-BDO. The purity of (R,R)-2,3-BDO was examined by agitation speed, and 98.54% of (R,R)-2,3-BDO was obtained at 500 rpm. However, as the cultivation period got longer, the purity of (R,R)-2,3-BDO declined. For this problem, a two-step agitation speed control strategy (adjusted from 500 to 400 rpm after 24 h) and over-expression of the dhaD gene involved in (R,R)-2,3-BDO biosynthesis were used. Nevertheless, the purity of (R,R)-2,3-BDO still gradually decreased over time. Finally, when pure glycerol was replaced with crude glycerol, the titer of 89.47 g/L of (R,R)-2,3-BDO (1.69 g/L of meso-2,3-BDO), productivity of 1.24 g/L/h, and yield of 0.35 g/g consumed crude glycerol was achieved while maintaining a purity of 98% or higher. Conclusions: This study is meaningful in that it demonstrated the highest production and productivity among studies in that produced (R,R)-2,3-BDO with a high purity in Klebsiella sp. strains. In addition, to the best of our knowledge, this is the first study to produce (R,R)-2,3-BDO using glycerol as the sole carbon source."
2024,International Journal of Medical Informatics,10.1016/j.ijmedinf.2024.105532,"Mattison, G.; Canfell, O.J.; Smith, D.; Forrester, D.; Reid, D.; Töyräs, J.; Dobbins, C.",“An excellent servant but a terrible master”: Understanding the value of wearables for self-management in people with cystic fibrosis and their healthcare providers – A qualitative study,English,"Background: Wearables hold potential to improve chronic disease self-management in conditions like cystic fibrosis (CF) through remote monitoring, early detection of illness and motivation. Little is known about the acceptability and sustainability of integrating wearables into routine care from the perspectives of people with CF (pwCF) and their treating clinicians. Methods: A cross-sectional qualitative study involving semi-structured interviews with adult pwCF and focus groups comprising members of a CF multidisciplinary team (MDT) were conducted at a specialist CF centre in Australia. A phenomenological orientation underpinned the study. Inductive thematic analysis was performed using the Framework method. The study adhered to the Consolidated Criteria for Reporting Qualitative Research (COREQ) checklist. Results: Nine pwCF and eight members of a CF MDT, representing six clinical disciplines, participated in the study. Eight themes were inductively generated from the data, of which four were identified from each group. PwCF valued wearables for providing real-time data to motivate healthy behaviours and support shared goal-setting with healthcare providers. Wearables did not influence adherence to CF-specific self-management practices and had some hardware limitations. Members of the CF MDT recognised potential benefits of remote monitoring and shared goal-setting, but advised caution regarding data accuracy, generating patient anxiety in certain personality traits, and lack of evidence supporting use in CF self-management. Conclusions: Perspectives on integrating wearables into CF care were cautiously optimistic, with emerging risks related to patient anxiety and lack of evidence moderating acceptance."
2024,Journal of Heart and Lung Transplantation,10.1016/j.healun.2024.02.003,"Almond, C.S.; Davies, R.; Adachi, I.; Richmond, M.; Law, S.; Tunuguntla, H.; Mao, C.; Shaw, F.; Lantz, J.; Wearden, P.D.; Jordan, L.C.; Ichord, R.N.; Burns, K.; Zak, V.; Magnavita, A.; Gonzales, S.; Conway, J.; Jeewa, A.; Freemon, D.A.; Stylianou, M.; Sleeper, L.; Dykes, J.C.; Ma, M.; Fynn-Thompson, F.; Lorts, A.; Morales, D.; Vanderpluym, C.; Dasse, K.; Patricia Massicotte, M.; Jaquiss, R.; Mahle, W.T.",A prospective multicenter feasibility study of a miniaturized implantable continuous flow ventricular assist device in smaller children with heart failure,English,"Background: There is no FDA-approved left ventricular assist device (LVAD) for smaller children permitting routine hospital discharge. Smaller children supported with LVADs typically remain hospitalized for months awaiting heart transplant—a major burden for families and a challenge for hospitals. We describe the initial outcomes of the Jarvik 2015, a miniaturized implantable continuous flow LVAD, in the NHLBI-funded Pumps for Kids, Infants, and Neonates (PumpKIN) study, for bridge-to-heart transplant. Methods: Children weighing 8 to 30 kg with severe systolic heart failure and failing optimal medical therapy were recruited at 7 centers in the United States. Patients with severe right heart failure and single-ventricle congenital heart disease were excluded. The primary feasibility endpoint was survival to 30 days without severe stroke or non-operational device failure. Results: Of 7 children implanted, the median age was 2.2 (range 0.7, 7.1) years, median weight 10 (8.2 to 20.7) kilograms; 86% had dilated cardiomyopathy; 29% were INTERMACS profile 1. The median duration of Jarvik 2015 support was 149 (range 5 to 188) days where all 7 children survived including 5 to heart transplant, 1 to recovery, and 1 to conversion to a paracorporeal device. One patient experienced an ischemic stroke on day 53 of device support in the setting of myocardial recovery. One patient required ECMO support for intractable ventricular arrhythmias and was eventually transplanted from paracorporeal biventricular VAD support. The median pump speed was 1600 RPM with power ranging from 1–4 Watts. The median plasma free hemoglobin was 19, 30, 19 and 30 mg/dL at 7, 30, 90 and 180 days or time of explant, respectively. All patients reached the primary feasibility endpoint. Patient-reported outcomes with the device were favorable with respect to participation in a full range of activities. Due to financial issues with the manufacturer, the study was suspended after consent of the eighth patient. Conclusion: The Jarvik 2015 LVAD appears to hold important promise as an implantable continuous flow device for smaller children that may support hospital discharge. The FDA has approved the device to proceed to a 22-subject pivotal trial. Whether this device will survive to commercialization remains unclear because of the financial challenges faced by industry seeking to develop pediatric medical devices. (Supported by NIH/NHLBI HHS Contract N268201200001I, clinicaltrials.gov 02954497)."
2024,Journal of Bioscience and Bioengineering,10.1016/j.jbiosc.2023.12.018,"Chen, J.; Lu, Y.; Liu, L.; Bai, R.; Zhang, S.; Hao, Y.; Xu, F.; Wei, B.; Zhao, H.",Characteristic analysis and fermentation optimization of a novel Aureobasidium pullulans RM1603 with high pullulan yield,English,"A high-yielding microbial polysaccharide-producing strain, named RM1603, was isolated from rhizosphere soil and identified by morphological and phylogenetic analysis. The extracellular polysaccharides (EPS) were identified by thin-layer chromatography and infrared spectroscopy. The fermentation conditions were optimized by single factor experiments in shake flasks and a 5-L fermentor. The results of morphological and phylogenetic tree analysis showed that RM1603 was a strain of Aureobasidium pullulans. Its microbial polysaccharide was identified as pullulan, and the EPS production capacity reached 33.07 ± 1.03 g L−1 in shake flasks. The fermentation conditions were optimized in a 5-L fermentor, and were found to encompass an initial pH of 6.5, aeration rate of 2 vvm, rotor speed of 600 rpm, and inoculum size of 2 %. Under these conditions, the pullulan yield of RM1603 reached 62.52 ± 0.24 g L−1. Thus, this study contributes RM1603 as a new isolation with high-yielding pullulan and potential application value in biotechnology."
2024,Science of the Total Environment,10.1016/j.scitotenv.2023.168990,"Liu, F.; Zhang, K.; Zhao, Y.; Li, D.; Sun, X.; Lin, L.; Feng, H.; Huang, Q.; Zhu, Z.",Screening of cadmium-chromium-tolerant strains and synergistic remediation of heavy metal-contaminated soil using king grass combined with highly efficient microbial strains,English,"The present study involved the isolation of two cadmium (Cd) and chromium (Cr) resistant strains, identified as Staphylococcus cohnii L1-N1 and Bacillus cereus CKN12, from heavy metal contaminated soils. S. cohnii L1-N1 exhibited a reduction of 24.4 % in Cr6+ and an adsorption rate of 6.43 % for Cd over a period of 5 days. These results were achieved under optimal conditions of pH (7.0), temperature (35 °C), shaking speed (200 rpm), and inoculum volume (8 %). B. cereus strain CKN12 exhibited complete reduction of Cr6+ within a span of 48 h, while it demonstrated a 57.3 % adsorption capacity for Cd over a period of 120 h. These results were achieved under conditions of optimal pH (8.0), temperature (40 °C), shaking speed (150 rpm), and inoculum volume (2–3 %). Additionally, microcharacterization and ICP-MS analysis revealed that Cr and Cd were accumulated on the cell surface, whereas Cr6+ was mainly reduced extracellularly. Subsequently, a series of pot experiments were conducted to provide evidence that the inclusion of S. cohnii L1-N1 or B. cereus CKN12 into the system resulted in a notable enhancement in both the plant height and biomass of king grass. In particular, it was observed that the presence of S. cohnii L1-N1 or B. cereus CKN12 in king grass led to a significant reduction in the levels of Cd and Cr in the soils (36.0 % and 27.8 %, or 72.9 % and 47.4 %, respectively). Thus, the results of this study indicate that the combined use of two bacterial strains can effectively aid in the remediation of tropical soils contaminated with moderate to light levels of Cd and Cr."
2024,ACS applied materials & interfaces,10.1021/acsami.3c15368,"Li, Z.; Zhao, K.; Wang, J.; Wang, B.; Lu, J.; Jia, B.; Ji, T.; Han, X.; Luo, G.; Yu, Y.; Wang, L.; Li, M.; Wang, Z.; Zhao, L.","Sensitive, Robust, Wide-Range, and High-Consistency Capacitive Tactile Sensors with Ordered Porous Dielectric Microstructures",English,"Flexible capacitive tactile sensors show great promise in personalized healthcare monitoring and human-machine interfaces, but their practical application is normally hindered because they rarely possess the required comprehensive performance, that is, high pressure sensitivity and fast response within a broad pressure range, high structure robustness, performance consistency, etc. This paper aims to engineer flexible capacitive pressure sensors with highly ordered porous dielectric microstructures and a 3D-printing-based fully solution-processable fabrication process. The proposed dielectric layer with uniformly distributed interior microporous can not only increase its compressibility and dynamic response within an extended pressure range but also enlarge its contact area with electrodes, contributing to a simultaneous improvement in the sensitivity, response speed, detection range, and structure robustness. Meanwhile, owing to its superior abilities in complex structure manufacturing and dimension controlling, the proposed 3D-printing-based fabrication process enables the consistent fabrication of the porous microstructure and thus guarantees device consistency. As a result, the prepared pressure sensors exhibit a high sensitivity of 0.21 kPa-1, fast response and relaxation times of 112 and 152 ms, an interface bonding strength of more than 455.2 kPa, and excellent performance consistency (≤5.47% deviation among different batches of sensors) and tunability. Encouraged by this, the pressure sensor is further integrated with a wireless readout circuit and realizes wireless wearable monitoring of various biosignals (pulse waves and heart rate) and body movements (from slight finger touch to large knee bending). Finally, the influence law of the feature parameters of the porous microstructure on device performance is established by the finite element method, paving the way for sensor optimization. This study motivates the development of flexible capacitive pressure sensors toward practical application."
2023,Hypertension Research,10.1038/s41440-023-01397-6,"Kario, K.; Tomitani, N.; Wang, T.-D.; Park, S.; Li, Y.; Shin, J.; Tsoi, K.; Chen, C.-H.; Cheng, H.-M.; Siddique, S.; Turana, Y.; Buranakitjaroen, P.; Van Huynh, M.; Nailes, J.; Sison, J.; Soenarta, A.A.; Sogunuru, G.P.; Sukonthasarn, A.; Tay, J.C.; Teo, B.W.; Verma, N.; Zhang, Y.; Schlaich, M.; Nagai, M.; Fujiwara, T.; Hoshide, S.; Chia, Y.-C.; Wang, J.-G.",Home blood pressure-centered approach – from digital health to medical practice: HOPE Asia Network consensus statement 2023,English,"Recent innovations in digital technology have enabled the simultaneous accumulation, and the linking and analysis of time-series big data relating to several factors that influence blood pressure (BP), including biological indicators, physical activity, and environmental information. Various approaches can be used to monitor BP: in the office/clinic; at home; 24-h ambulatory recording; or with wearable and cuffless devices. Of these, home BP monitoring is a reliable and convenient method, and is recommended for hypertension management by current national and international guidelines. This recommendation is based on evidence showing that home BP is an important predictor of cardiovascular, cerebrovascular and kidney disease in patients with hypertension. In addition, lifetime personalized health record (PHR)-based home BP with telemonitoring combined with co-interventions has been shown to lower BP more effectively than the traditional approach based on office BP. Thus, home BP represents a key metric for personalized anticipation medicine, from digital healthcare to digital medicine. This paper summarizes the latest evidence on home BP monitoring and proposes a Hypertension Cardiovascular Outcome Prevention and Evidence in Asia (HOPE Asia) Network consensus on a home BP-centered approach to the management of hypertension. [Figure not available: see fulltext.]"
2023,Value in Health,10.1016/j.jval.2023.09.1400,"Ramkeesoon, A.; Ben Dhia, O.","HPR82 The Comparative Analysis of Accelerated Coverage Pathways for Innovation (ACPI) for Digital Technologies: In the Landscape of Germany, France, and the United Kingdom",English,"Objectives: Digital Health Technologies (DHT) have the capacity to personalise healthcare, improve access to services and enhance patient outcomes. This can, in turn, reduce the burden on healthcare resources. The timely integration of DHTs into health systems relies on Accelerated Coverage Pathways for Innovation (ACPIs) which facilitate early access to these innovative solutions. This research aims to compare the various ACPIs for DHT coverage in Germany, France, and the United Kingdom. Methods: All publicly available documents on regulations, guidelines, and evaluation processes of the ACPIs in the three countries up to 2023 were identified and used to map available details of the programs. A theoretical evaluation using publicly available ACPI criteria was conducted to compare the likelihood of coverage of two technologies, used as case studies. This was done to comprehend the factors that may influence the adoption of DHT in respective countries. Results: The most appropriate DHT ACPIs were identified; one per country in scope: the AI in Health and Care award in the UK, DiGA in Germany, and PECAN Coverage in France. The pathways were compared to detect similarities and differences in coverage criteria. The theoretical evaluation resulted in 100% of the devices being eligible in the UK, 50% in Germany and 50% in France. (Theoretical evaluations were based on public information but actual authority evaluations could differ.) Conclusions: Innovative pathways for DHT adoption in the three countries all aim to expedite the delivery of life-saving, revolutionary technology. Our study showed that Germany has a smaller acceptance of the type of technologies they cover (risk class I & IIa) and strict evidence and technical requirements. Though France has a wider acceptance (Risk class I-III & remote patient monitoring devices), it only covers CE-marked digital devices. UK’s ACPI aims to support various devices through different lifecycle stages and differing levels of evidence generation."
2023,Blood,10.1182/blood-2023-178270,"Gerbitz, A.; Al-Shaibani, E.; Quirke, A.; Abbas, A.; Jayaraman, R.","Remote Monitoring of Patients after Allogeneic Stem Cell Transplantation: A Mobile Phone Application to Report Symptoms, Vital Signs and Activity in Real Time",English,"Introduction: One of the major obstacles for early inpatient discharge after allogeneic stem cell transplantation (aSCT) is, aside from frailty and bloodwork required, the high risk for infections and the need for monitoring of graft versus host disease (GvHD). This requires frequent hospital visits which are often a challenge especially when travelling to hospitals imposes significant costs for the patient. Furthermore, structured data acquisition in the home care setting is missing. Methods: We have developed a fully patient centered, easy to operate mobile phone application for aHSCT patients that allows for treatment specific symptom reporting. In combination with a wearable device (smart watch), a blood pressure monitor and a thermometer, this application incorporates online monitoring of all major vital signs in almost real time. The application currently captures more than 50 static and dynamic metrics relevant for aSCT and provides a photo function to capture skin images in a patient specific image library. Daily symptom reporting can be performed as often as necessary and data from wearable devices are obtained in very high frequency. Symptom reporting includes information on general wellbeing, nausea, oral mucositis, bowel movement frequency and consistency, information on oral calorie and fluid uptake, and it captures and calculates body surface areas affected by rash. All data are streamed in almost real time and displayed on a browser-based dashboard to the healthcare team. The user interface for the physician dashboard was developed using the React JavaScript library whereas the mobile application utilized React Native to enable Android and iOS applications. The collection, storage, and presentation of patient data via the physician dashboard is facilitated using various AWS technologies such as Lambda, S3 and Timestream. Data can be stored according to federal laws and regulations the software is operating in. Access to the dashboard is center-specific and secured by a dual verification process. Summary: Daily symptom reporting by the patient is easy, comprehensive and can be completed within minutes. Data from wearable devices are obtained 24/7 at high frequency. All data are displayed on a dashboard to the corresponding physician with only a few minutes delay. The system captures vital signs (blood pressure, temperature, pulse, breathing rate, oxygen saturation, etc.) and GvHD related symptoms such as skin rash including body surface area affected, and frequency/volume of bowel movements. It provides information based on the patient's physical activity, food intake, fluid intake, sleeping patterns in a structured fashion. The physician's dashboard displays all transplant relevant static information like HLA match, conditioning regimen, type of immunosuppression, ABO incompatibility, serologies of patient and donor. It displays all data reported longitudinally and allows physicians to observe trends and developments providing interactive graphs on each metrics. It provides a medication plan that captures daily dosage, duration of treatment and calculates cumulative doses. Changes in medication and dosing will alert the patient on the mobile phone application. All data can be obtained in a structured fashion for research purposes by the participating institution. Conclusion: This mobile phone application in combination with a wearable device allows for remote monitoring of patients after aHSCT. Its function is comprehensive and not only provides structured data, but allows for monitoring success of medical treatment. It is developed in a modular fashion that can be easily adapted to specific requirements in other cell therapies such CAR CD19, AML induction therapies or autologous SCT."
2023,American Heart Journal,10.1016/j.ahj.2023.07.005,"Gnanenthiran, S.R.; Tan, I.; Atkins, E.R.; Avolio, A.; Bennett, B.; Chapman, N.; Chow, C.K.; Freed, R.; Gnjidic, D.; Hespe, C.; Kaur, B.; Liu, H.M.; Patel, A.; Peiris, D.; Reid, C.M.; Schlaich, M.; Sharman, J.E.; Stergiou, G.S.; Usherwood, T.; Gianacas, C.; Rodgers, A.; Schutte, A.E.",Transforming blood pressure control in primary care through a novel remote decision support strategy based on wearable blood pressure monitoring: The NEXTGEN-BP randomized trial protocol,English,"Background: Despite high blood pressure being the leading preventable risk factor for death, only 1 in 3 patients achieve target blood pressure control. Key contributors to this problem are clinical inertia and uncertainties in relying on clinic blood pressure measurements to make treatment decisions. Methods: The NEXTGEN-BP open-label, multicenter, randomized controlled trial will investigate the efficacy, safety, acceptability and cost-effectiveness of a wearable blood pressure monitor-based care strategy for the treatment of hypertension, compared to usual care, in lowering clinic blood pressure over 12 months. NEXTGEN-BP will enroll 600 adults with high blood pressure, treated with 0 to 2 antihypertensive medications. Participants attending primary care practices in Australia will be randomized 1:1 to the intervention of a wearable-based remote care strategy or to usual care. Participants in the intervention arm will undergo continuous blood pressure monitoring using a wrist-wearable cuffless device (Aktiia, Switzerland) and participate in 2 telehealth consultations with their primary care practitioner (general practitioner [GP]) at months 1 and 2. Antihypertensive medication will be up-titrated by the primary care practitioner at the time of telehealth consults should the percentage of daytime blood pressure at target over the past week be <90%, if clinically tolerated. Participants in the usual care arm will have primary care consultations according to usual practice. The primary outcome is the difference between intervention and control in change in clinic systolic blood pressure from baseline to 12 months. Secondary outcomes will be assessed at month 3 and month 12, and include acceptability to patients and practitioners, cost-effectiveness, safety, medication adherence and patient engagement. Conclusions: NEXTGEN-BP will provide evidence for the effectiveness and safety of a new paradigm of wearable cuffless monitoring in the management of high blood pressure in primary care. Trial Registration: ACTRN12622001583730."
